Word	Category	WordClass	TranslationEng	TranslationEpo	Do not remove (Proofreading)	Tags	SearchTermsEng	TransNote	LexiliAsel	Hyphenation	Synonyms	Antonyms	slug_mod	OfficialWord	TranslationSpa	TranslationDeu	TranslationFra	TranslationRus	TranslationZho	TranslationHin	TranslationAra	Etymological support	
kolibri	root	b	n: hummingbird, _Trochilidae_	s: kolibro, muŝbirdo	Removed 'muŝbirdo' (= fly-bird; non-standard calque)	piu			Espanisa (colibrí), Fransesa (colibri), Rusisa (колибри “kolibri”), Doycisa (Kolibri), Indonesisa (burung kolibri), Swahilisa (kolibri)					FALSE	s: colibrí	Kolibri	n: colibri	колибри	名: 蜂鸟	सं: गुंजन पक्षी, हमिंगबर्ड	اسم: طَائِر الطَّنَّان، كُولِيبْرِي		
koloni	root	b	n: colony	s: kolonio		politi			Englisa (colony), Espanisa (colonia), Fransesa (colonie), Rusisa (колония “koloniya”), Doycisa (Kolonie), Indonesisa (koloni), Turkisa (koloni), Swahilisa (koloni), Pilipinasa (kolonya), Hindi (कॉलोनी “koloni”), Niponsa (コロニー “koroni”)					TRUE	s: colonia	Kolonie	n: colonie		名: 殖民地	सं: उपनिवेश, कॉलोनी	اسم: مُسْتَعْمَرَة		
kolor	root	b	n: color, colour	s: koloro		500 maxim pimpan genulexi ji fikso, bage 5 de lista 500, xey			Englisa (color), Fransesa (couleur), Doycisa (kolorieren), Rusisa (колер “koler”), Espanisa (color), Pilipinasa (kulay)					TRUE	s: color	Farbe; färben	n: couleur		名: 颜色, 色彩	सं: रंग	اسم: لَوْن		
kolorarko	derived	b	n: rainbow	s: ĉielarko		klima			kolor + arko					FALSE	s: arcoíris		n: arc-en-ciel		名: 彩虹	सं: इंद्रधनुष	اسم: قَوْس قُزَح		
kolorlari	derived	b	n: palette (_range of colors_)	s: koloraro, paletro	Added translation (was empty)				kolor + lari					FALSE	s: paleta (de colores)		n: palette (_de couleurs_)		名: 调色板, 色系	सं: रंगपट, पैलेट	اسم: لَوْحَة أَلْوَان، بَالِيتَّة		
kolorokobimarya	derived	b	n: color blindness, colour blindness	s: kolorblindeco		bimarya			kolor + oko + bimar + -ya	kolor-okobimarya	kolorokoosis			FALSE	s: daltonismo		n: daltonisme		名: 色盲	सं: वर्णांधता, रंगांधता	اسم: عَمَى الأَلْوَان		
kolorokoosis	derived	b	n: color blindness, colour blindness	s: kolorblindeco		bimarya			kolor + oko + osis	kolor-okoosis	kolorokobimarya			FALSE	s: daltonismo		n: daltonisme		名: 色盲	सं: वर्णांधता, रंगांधता	اسم: عَمَى الأَلْوَان		
kolube	root	b	n: cabin, hut	s: kabano	Removed 'ĥato' (non-standard; probably meant 'kabano' already)	kostruixey			Rusisa (халупа “halupa”), Turkisa (kulübe), Parsisa (کلبه “kolbe”)					TRUE	s: cabaña		n: cabane, hutte		名: 小屋, 棚屋	सं: झोपड़ी, कुटिया	اسم: كُوخ، كَبِينَة		
komedi	root	b	n: comedy	s: komedio		arte			Englisa (comedy), Espanisa (comedia), Fransesa (comédie), Rusisa (комедия “komediya”), Doycisa (Komödie), Indonesisa (komedi), Pilipinasa (komedya), Arabisa (كُومِيدِيَا “komidiya”, كُومِيدِيَا “komediya”), Niponsa (コメディ “komedi”), Turkisa (komedi), Koreasa (코미디 “komidi”), Parsisa (کمدی “komedi”)					TRUE	s: comedia		n: comédie		名: 喜剧	सं: हास्य नाटक, कॉमेडी	اسم: كُومِيدْيَا		
komiki	root	b	n: comics, manga	s: komikso, bildliteraturo	?	arte			Englisa (comics), Espanisa (cómic), Rusisa (комикс “komiks”), Doycisa (Comic), Indonesisa (komik), Pilipinasa (komiks), Hindi (कॉमिक्स “komiks”), Niponsa (コミック “komikku”), Telugusa (కామిక్స్ “kamiks”), Parsisa (کُمیک “komik”), Swahilisa (komiki)					TRUE	s: cómic, manga		n: bande dessinée, BD, manga		名: 漫画	सं: कॉमिक्स, मंगा	اسم: كُومِكْس، رُسُوم هَزْلِيَّة، مَانْغَا		
kompasu	root	b	n: compass, pair of compasses	s: cirkelo		tul			Englisa (compass), Espanisa (compás), Fransesa (compas), Pilipinasa (kompas, kumpas), Koreasa (컴퍼스 “komposu”), Niponsa (コンパス “kompasu”), Vyetnamsa (com-pa)					FALSE	s: compás (_instrumento_)		n: compas (_instrument_)		名: 圆规	सं: परकार	اسم: فِرْجَار، بِرْكَار		
kompetenya	derived	b	n: competence	s: kompetenteco, kompetento					kompeten + -ya					FALSE	s: competencia		n: compétence		名: 能力, 胜任力	सं: योग्यता, दक्षता	اسم: كَفَاءَة، جَدَارَة		
komplekso	root	b	n: complex (_psychology_)	s: komplekso (_psikologio_)		medis			Englisa (complex), Espanisa (complejo), Fransesa (complexe), Rusisa (комплекс “kompleks”), Doycisa (Komplex), Indonesisa (kompleks), Pilipinasa (kompleks), Turkisa (kompleks), Koreasa (콤플렉스 “kompulleksu”), Niponsa (コンプレックス “kompurekusu”)					FALSE	s: complejo (_psicología_)		n: complexe (_psychologie_)		名: 情结, 情意综	सं: ग्रंथि (_मनोविज्ञान_), कॉम्प्लेक्स	اسم: عُقْدَة (_عِلْم نَفْس_)		
komputatora	derived	b	n: computer	s: komputilo		tekno, tul			komputa + tora		komputer			FALSE	s: computadora, ordenador	Computer, Rechner	n: ordinateur	компьютер	名: 电脑, 计算机	सं: कंप्यूटर	اسم: حَاسُوب، كُمْبْيُوتَر	Putunhwa (计算机)	
komputatul	derived	b	n: calculator	s: kalkulilo		tul			komputa + -tul					FALSE	s: calculadora	Taschenrechner, Rechner	n: calculatrice	калькулятор	名: 计算器	सं: कैलकुलेटर, परिकलक	اسم: حَاسِبَة، آلَة حَاسِبَة	Putunhwa (计算器)	
komputer	root	b	n: computer	s: komputilo		500 maxim pimpan genulexi ji fikso, bage 5 de lista 500, tekno			Englisa (computer), Doycisa (Computer), Rusisa (компьютер “kompyuter”), Espanisa (computadora), Indonesisa (komputer), Pilipinasa (kompyuter), Arabisa (كَمْبْيُوتَر “kambyutar”), Niponsa (コンピュータ “kompyuta”), Koreasa (컴퓨터 “kompyuto”), Parsisa (کامپیوتر‎ “kampyuter”), Hindi (कंप्यूटर “kampyutar”), Telugusa (కంప్యూటర్ “kampyutar”), Swahilisa (kompyuta)		komputatora			FALSE	s: computadora, ordenador	Computer	n: ordinateur	компьютер	名: 电脑, 计算机	सं: कंप्यूटर	اسم: حَاسُوب، كُمْبْيُوتَر		
komunikayen	derived	b	n: communicator	s: komunikisto, komunikanto					komunika + -yen					FALSE	s: comunicador		n: communicateur		名: 沟通者, 传播者	सं: संचारक, संप्रेषक	اسم: مُبَلِّغ، نَاقِل		
komunismo	derived	b	n: communism	s: komunismo		politi			komun + -ismo					FALSE	s: comunismo	Kommunismus	n: communisme	коммунизм	名: 共产主义	सं: साम्यवाद, कम्युनिज़्म	اسم: شُيُوعِيَّة		
komunista	derived	b	n: communist	s: komunisto		politi, person			komun + -ista					FALSE	s: comunista	Kommunist	n: communiste	коммунист	名: 共产主义者	सं: साम्यवादी, कम्युनिस्ट	اسم: شُيُوعِيّ		
komuntim	derived	b	n: community	s: komunumo		grupo			komun + -tim					FALSE	s: comunidad		n: communauté		名: 社区, 社群	सं: समुदाय	اسم: مُجْتَمَع، جَمَاعَة		
konceto	root	b	n: concept, notion	s: koncepto					Englisa (concept), Fransesa (concept), Doycisa (Konzept), Rusisa (концепция “kontseptsiya”), Espanisa (concepto), Niponsa (コンセプト “konseputo”), Koreasa (컨셉 “konsep”, 콘셉트 “konseptu”), Indonesisa (konsep), Pilipinasa (konsepto)					TRUE	s: concepto, noción		n: concept, notion		名: 概念	सं: अवधारणा, संकल्पना	اسم: مَفْهُوم، فِكْرَة		
koncun	root	b	n: insect, bug	s: insekto		hewan			Putunhwa (昆虫 “kūnchóng”), Koreasa (곤충 “gonchung”), Niponsa (昆虫 “konchū”), Vyetnamsa (côn trùng)					TRUE	s: insecto	Insekt	n: insecte	насекомое, букашка	名: 昆虫	सं: कीड़ा, कीट	اسم: حَشَرَة		
koncunlogi	derived	b	n: entomology	s: entomologio, insektoscienco	Removed 'insektoscienco' (non-standard compound)	domeni			koncun + logi					FALSE	s: entomología	Insektenkunde, Entomologie	n: entomologie	энтомология	名: 昆虫学	सं: कीट विज्ञान	اسم: عِلْم الحَشَرَات		
koncunlogiyen	derived	b	n: entomologist	s: entomologo, insektosciencisto	Removed 'insektosciencisto' (non-standard compound)				koncun + logi + -yen					FALSE	s: entomólogo	Insektenkundler, Entomologe	n: entomologiste	энтомолог	名: 昆虫学家	सं: कीटविज्ञानी	اسم: عَالِم حَشَرَات		
koncunmorgiente	derived	b	n: insecticide	s: insekticido					koncun + mor + -gi + ente	koncun-morgiente				FALSE	s: insecticida	Insektizid	n: insecticide	инсектицид	名: 杀虫剂	सं: कीटनाशक	اسم: مُبِيد حَشَرَات		
kondom	root	b	n: condom	s: kondomo		sekso, tul			Englisa (condom), Doycisa (Kondom), Rusisa (кондом “kondom”), Espanisa (condón), Swahilisa (kondomu), Hindi (कंडोम “kandom”), Telugusa (కండోం “kandom”), Arabisa (كُونْدُوم “kundum”), Niponsa (コンドーム “kondomu”), Koreasa (콘돔 “kondom”), Turkisa (kondom), Parsisa (کاندوم‎ “kandom”), Indonesisa (kondom), Pilipinasa (kondom)					TRUE	s: condón, preservativo	Kondom, Präservativ	n: préservatif	презерватив, кондом	名: 避孕套	सं: कंडोम, निरोध	اسم: وَاقٍ ذَكَرِيّ، كُوندُوم		
konestable	root	b	n: constable	s: konestablo		person			Englisa (constable), Espanisa (condestable), Fransesa (connétable), Rusisa (констебль “konstebl”), Doycisa (Konstabler, Konstabel), Malaysisa (konstabel), Pilipinasa (konstable), Hindi (कॉंस्टेबल “konstebal”), Niponsa (コンスタブル “konstaburu”), Karnatakasa (ಕಾನ್‍ಸ್ಟೆಬಲ್ “kanstebal”), Swahilisa (konstebo)					TRUE	s: condestable	Konstabler	n: connétable	констебль	名: 治安官, 警官	सं: कांस्टेबल	اسم: شُرْطِيّ، كُونِسْتَابْل		
konferensi	root	b	n: conference, convention	s: konferenco, kongreso					Doycisa (Konferenz), Englisa (conference), Espanisa (conferencia), Fransesa (conférence), Rusisa (конференция “konferentsiya”), Indonesisa (konferensi), Pilipinasa (kumperensya), Turkisa (konferans), Parsisa (کنفرانس “konferâns”)					TRUE	s: conferencia, congreso		n: conférence, congrès		名: 会议, 大会	सं: सम्मेलन, अधिवेशन	اسم: مُؤْتَمَر، اِجْتِمَاع		
konfeti	root	b	n: confetti	s: konfetoj		xey			Englisa (confetti), Espanisa (confeti), Fransesa (confetti), Rusisa (конфетти “konfetti”), Doycisa (Konfetti), Indonesisa (konfeti), Pilipinasa (kumpitis), Hindi (कन्फ़ेटी “kanfeti”), Telugusa (కన్ఫెట్టి “kanfeti”), Turkisa (konfeti), Vyetnamsa (công-phét-ti)					FALSE	s: confeti	Konfetti	n: confettis	конфетти	名: 彩纸屑, 五彩纸屑	सं: कन्फ़ेटी	اسم: كُونْفِيتِّي، قُصَاصَات وَرَقِيَّة		
konkurexey	derived	b	n: contest, competition, match	s: konkurso, konkurenco	Changed 'konkuraĵo, konkursaĵo, konkurencaĵo' (-aĵo means result/product; contest is the event itself)	esportu			konkure + -xey					FALSE	s: concurso, competencia		n: concours, compétition		名: 比赛, 竞赛	सं: प्रतियोगिता, मुक़ाबला	اسم: مُسَابَقَة، مُنَافَسَة، مُبَارَاة		
konkureyen	derived	b	n: competitor, contestant, contender	s: konkursanto, konkuranto		esportu			konkure + -yen					FALSE	s: competidor, concursante		n: concurrent, candidat		名: 参赛者, 竞争者	सं: प्रतियोगी, प्रतिस्पर्धी	اسم: مُنَافِس، مُتَسَابِق		
konsol	root	b	n: console	s: konzolo		komputer			Englisa (console), Espanisa (consola), Fransesa (console), Rusisa (консоль “konsol”), Doycisa (Konsole), Indonesisa (konsol), Pilipinasa (console), Hindi (कंसोल “kansol”), Telugusa (కన్సోల్ “kansol”), Parsisa (کنسول “konsul”), Turkisa (konsol), Koreasa (콘솔 “konsol”), Niponsa (コンソール “konsoru”)					FALSE	s: consola	Konsole	n: console	консоль	名: 控制台, 操作台	सं: कंसोल	اسم: كُونْسُول، لَوْحَة تَحَكُّم		
konsonan	root	b	n: consonant	s: konsonanto		basalogi			Englisa (consonant), Fransesa (consonne), Doycisa (Konsonant), Espanisa (consonante), Indonesisa (konsonan), Pilipinasa (konsonante), Swahilisa (konsonanti)					TRUE	s: consonante	Konsonant, Mitlaut	n: consonne	согласный	名: 辅音	सं: व्यंजन	اسم: صَامِت (_صَوْت_)، حَرْف سَاكِن		
kontaminaente	derived	b	n: contaminant	s: poluaĵo					kontamina + ente					FALSE	s: contaminante		n: contaminant, polluant		名: 污染物	सं: प्रदूषक	اسم: مُلَوِّث، مَادَّة مُلَوِّثَة		
konte	root	b	n: count, countess, earl	s: grafo, grafino		person			Englisa (count, countess), Espanisa (conde, condesa), Fransesa (comte, comtesse), Portugalsa (conde, condessa), Italisa (conte, contessa), Pilipinasa (konde, kondesa), Hindi (कौंट “kawnt”), Arabisa (كُونْت “kunt”), Turkisa (kont, kontes), Parsisa (کنت “kont”)					TRUE	s: conde, condesa	Graf, Gräfin	n: comte, comtesse	граф, графиня	名: 伯爵, 伯爵夫人	सं: काउंट, काउंटेस, अर्ल	اسم: كُونْت، كُونْتِيسَة		
kontrata	root	b	n: contract (_legally binding_)	s: kontrakto (_jure deviga_)		politi, lega			Doycisa (Kontrakt), Englisa (contract), Espanisa (contrato, contrata), Fransesa (contrat), Rusisa (контракт “kontrakt”), Turkisa (kontrat), Indonesisa (kontrak), Pilipinasa (kontrata), Niponsa (コントラクト “kontorakuto”), Parsisa (کُنْتْرات “kontrat”), Vyetnamsa (công-ta), Swahilisa (kondrati)					TRUE	s: contrato		n: contrat (_juridiquement contraignant_)		名: 合同, 契约	सं: अनुबंध, क़रारनामा	اسم: عَقْد (_مُلْزِم قَانُونِيًّا_)		
konus	root	b	n: cone	s: konuso		figura			Doycisa (Konus), Rusisa (конус “konus”), Englisa (cone), Espanisa (cono), Fransesa (cône), Pilipinasa (kono), Turkisa (koni), Elinisa (κώνος “konos”)					TRUE	s: cono	Kegel	n: cône	конус	名: 圆锥, 锥体	सं: शंकु	اسم: مَخْرُوط		
kopa	root	b	n (any drinking vessel other than bottles): glass, tumbler, cup, mug	s (iu ajn trinkujo krom boteloj): glaso, taso, kruĉo	Removed '(iu ajn trinkujo krom boteloj)' (definition, not a translation)	kokikamer			Englisa (cup), Hindi (कप “kap”), Arabisa (كُوب “kub”), Fransesa (coupe), Rusisa (кубок “kubok”), Portugalsa (copo), Niponsa (コップ “koppu”), Koreasa (컵 “kop”), Vyetnamsa (cốc), Swahilisa (kikombe), Italisa (coppa)					TRUE	s: vaso, taza		n (tout récipient à boire autre qu'une bouteille): verre, tasse, chope		名: 杯, 杯子	सं (बोतल के अलावा कोई पीने का पात्र): गिलास, कप, प्याला, मग	اسم (أَيّ وِعَاء شُرْب غَيْر القَوَارِير): كُوب، كَأْس، فِنْجَان		
kopakeke	derived	b	n: cupcake	s: kuketo	Removed '(glazurita)' — cupcake doesn't require frosting by definition	yamxey			kopa + keke. Doycisa (Cupcake), Englisa (cupcake), Espanisa (cupcake), Fransesa (cupcake), Rusisa (капкейк “kapkeyk”), Indonesisa (cupcake), Pilipinasa (cupcake), Arabisa (كاب كيك “kab kik”), Koreasa (컵케이크 “kopkeyku”), Hindi (कपकेक “kapkek”), Niponsa (カップケーキ “kapukeki”), Parsisa (کاپ کیک “kap kek”), Telugusa (కప్ కేక్ “kap kek”), Turkisa (kapkek), Vyetnamsa (cupcake)					FALSE	s: cupcake, panquecito	Cupcake	n: cupcake, petit gâteau	капкейк, сказочный торт	名: 纸杯蛋糕	सं: कपकेक	اسم: كَيْكَة صَغِيرَة، كَبْكِيك		
kopernikyum	root	b	n: copernicium, _Cn_	s: kopernicio		kimikamon			Englisa (copernicium), Hindi (कोपरनिसियम “koparnisiyam”), Espanisa (copernicio), Arabisa (كوبرنيسيوم “kubirnisyum”), Fransesa (copernicium), Rusisa (коперниций “kopernitsiy”), Indonesisa (kopernisium), Doycisa (Copernicium), Niponsa (コペルニシウム “koperunixiumu”), Telugusa (కోపర్నిషియం “koparnixiyam”), Turkisa (kopernikyum), Koreasa (코페르니슘 “koperunixum”), Vyetnamsa (copernixi), Parsisa (کوپرنیسیم “kopernisiyom”), Swahilisa (copernici), Pilipinasa (koperniko)					TRUE	s: copernicio	Copernicium	n: copernicium	коперниций	名: 鿔	सं: कोपरनिसियम	اسم: كُوبِرْنِيسْيُوم		
korbani	root	b	n: victim	s: viktimo		person			Arabisa (قُرْبَان “qurban”), Indonesisa (korban), Parsisa (قربانی “qorbani”), Turkisa (kurban), Hindi (कुरबानी “kurbani”)					TRUE	s: víctima		n: victime		名: 受害者	सं: पीड़ित, भुक्तभोगी	اسم: ضَحِيَّة		
kordo	root	b	n: cord, rope	s: kordo, ŝnuro		xey			Englisa (cord), Espanisa (cordón), Fransesa (corde), Doycisa (Kordel), Rusisa (корд “kord”), Turkisa (kordon), Pilipinasa (kurdon), Niponsa (コード “kōdo”)					TRUE	s: cuerda, soga		n: corde		名: 绳, 绳索	सं: डोरी, रस्सी	اسم: حَبْل، سِلْك		
koridor	root	b	n: corridor, hallway, aisle	s: koridoro		kostruixey			Englisa (corridor), Espanisa (corredor), Fransesa (couloir, corridor), Rusisa (коридор “koridor”), Doycisa (Korridor), Indonesisa (koridor), Pilipinasa (koridor), Telugusa (కారిడార్ “karidar”), Turkisa (koridor), Parsisa (کریدور “koridor”), Swahilisa (korido)					TRUE	s: corredor, pasillo		n: couloir, corridor		名: 走廊, 通道	सं: गलियारा	اسم: مَمَرّ، رُوَاق		
korku	root	b	n: cork (_material_), phellem	s: korko		materyal, plantalogi			Englisa (cork), Espanisa (corcho), Doycisa (Kork), Swahilisa (koki), Koreasa (코르크 “koruku”), Niponsa (コルク “koruku”), Hindi (काग “kag”)					FALSE	s: corcho		n: liège (_matériau_)		名: 软木, 木栓	सं: कॉर्क	اسم: فِلِّين		
korneta	root	b	n: cornet	s: korneto		musikatul			Englisa (cornet),Espanisa (corneta), Fransesa (cornet), Rusisa (корнет “kornet”), Doycisa (Kornett), Arabisa (كورنيت “kurnit”), Parsisa (کورنت "kurnet"), Turkisa (kornet), Koreasa (코넷 “konet”), Niponsa (コルネット “korunetto”), Vyetnamsa (kèn connê)					FALSE	s: corneta	Kornett	n: cornet (_instrument_)	корнет	名: 短号	सं: कॉर्नेट	اسم: بُوق صَغِير، كُورْنِيت		
korno	root	b	n: horn (_musical instrument_)	s: korno (_muzikinstrumento_)		musikatul			Doycisa (Horn), Englisa (horn), Espanisa (korno), Fransesa (cor), Niponsa (ホルン “horun”), Koreasa (호른 “horun”), Vyetnamsa (kèn), Parsisa (کر “kor”), Turkisa (korno)					FALSE	s: corno, trompa (_instrumento_)	Horn (_Musik_)	n: cor (_instrument_)		名: 圆号, 号	सं: हॉर्न (_वाद्य_)	اسم: بُوق (_آلَة مُوسِيقِيَّة_)		
koronel	root	b	n: colonel	s: kolonelo		person			Englisa (colonel), Espanisa (coronel), Fransesa (colonel), Indonesisa (kolonel), Pilipinasa (koronel), Hindi (कर्नल “karnal”), Arabisa (كُولُونِيل “kulunil”), Telugusa (కర్నల్ “karnal”), Parsisa (کلنل “kolonel”), Swahilisa (kanali)					TRUE	s: coronel	Oberst	n: colonel	полковник	名: 上校	सं: कर्नल	اسم: عَقِيد، كُولُونِيل		
korotim	derived	b	n: choir (group)	s: koruso, ĥoro	Simplified; removed '(_aro_)' disambiguation (unnecessary)	grupo			koro + -tim					FALSE	s: coro		n: chœur, chorale		名: 合唱团	सं: सामूहिक गायक मंडली, कोरस	اسم: جَوْقَة، كُورَال		
korsaro	root	b	n: pirate, corsair	s: pirato, korsaro	Removed 'pirati' (verb form after semicolon)	person			Italisa (corsaro), Englisa (corsair), Fransesa (corsaire), Rusisa (корсар “korsar”), Doycisa (Korsar), Arabisa (قُرْصَان “kursan”), Turkisa (korsan)					TRUE	s: pirata, corsario	Pirat, Seeräuber, Korsar	n: pirate, corsaire	пират, корсар	名: 海盗	सं: समुद्री डाकू	اسم: قُرْصَان		
korseto	root	b	n: corset	s: korseto		labas			Englisa (corset), Espanisa (corsé), Fransesa (corset), Rusisa (корсет “korset”), Doycisa (Korsett), Portugalsa (corset), Italisa (corsetto), Indonesisa (korset), Pilipinasa (kurse), Arabisa (كورسيه “kursih”), Niponsa (コルセット “korusetto”), Turkisa (korse), Vyetnamsa (coóc-xê), Koreasa (코르셋 “koruset”), Parsisa (کرست “korset”), Swahilisa (koseti)					FALSE	s: corsé		n: corset		名: 束腰, 紧身胸衣	सं: कॉर्सेट	اسم: كُورْسِيه، مِشَدّ		
koryandro	root	b	n: coriander, cilantro	s: koriandro		herba			Doycisa (Koriander), Englisa (coriander), Espanisa (coriandro), Fransesa (coriandre), Rusisa (кориандр “koriandr”), Pilipinasa (koriandro), Niponsa (コリアンダー “korianda”)					TRUE	s: cilantro		n: coriandre		名: 香菜, 芫荽	सं: धनिया	اسم: كُزْبَرَة		
kosamon	derived	b	n: factor	s: faktoro	Removed 'kaŭzero' (non-standard; kaŭz- + -ero doesn't work naturally)				kosa + -mon					FALSE	s: factor		n: facteur		名: 因素, 要素	सं: कारक, फ़ैक्टर	اسم: عَامِل، مُعَامِل		
kosino	root	b	n: cosine	s: kosinuso		matemati			Englisa (cosine), Fransesa (cosinus), Doycisa (Kosinus), Niponsa (コサイン “kosain”), Koreasa (코사인 “kosain”), Indonesisa (kosinus), Rusisa (косинус “kosinus”), Espanisa (coseno), Pilipinasa (kasinway), Vyetnamsa (côsin), Parsisa (کسینوس “kosinus”), Turkisa (kosinüs)					FALSE	s: coseno		n: cosinus		名: 余弦	सं: कोज्या, कोसाइन	اسم: جَيْب تَمَام، كُوسَيْن		
kosmo	root	b	n: universe	s: kosmo, universo		tenmunlogi			Englisa (cosmos), Fransesa (cosmos), Doycisa (Kosmos), Rusisa (космос “kosmos”), Espanisa (cosmos), Turkisa (kozmos), Indonesisa (kosmos), Pilipinasa (kosmos), Niponsa (コスモス “kosumosu”), Koreasa (코스모스 “kosumosu”)					TRUE	s: universo, cosmos		n: univers, cosmos		名: 宇宙	सं: ब्रह्मांड, सृष्टि	اسم: كَوْن، كَوْن شَامِل		
kosmologi	derived	b	n: cosmology	s: kosmologio, kosmoscienco	Removed 'kosmoscienco' (non-standard compound)	domeni			kosmo + logi					FALSE	s: cosmología		n: cosmologie		名: 宇宙学	सं: ब्रह्मांड विज्ञान	اسم: عِلْم الكَوْن، كُوسْمُولُوجْيَا		
kosmonaviyen	derived	b	n: astronaut, cosmonaut	s: kosmonaŭto, astronaŭto		tenmunlogi			kosmo + navi + -yen					FALSE	s: astronauta, cosmonauta		n: astronaute, cosmonaute		名: 宇航员, 航天员	सं: अंतरिक्ष यात्री	اسم: رَائِد فَضَاء، كُوسْمُونَاوْت		
kosta	root	b	n: coast, shore	s: (mar)bordo	Changed '(mar)bordo' (formatting violation) to 'marbordo, bordo'	geografi			Englisa (coast, coastal), Fransesa (côte), Doycisa (Küste), Espanisa (costa)					TRUE	s: costa, orilla		n: côte, rivage, littoral		名: 海岸, 岸	सं: तट, किनारा	اسم: سَاحِل، شَاطِئ		
kostruixey	derived	b	n: building	s: konstruaĵo					kostrui + -xey					FALSE	s: edificio		n: bâtiment, édifice		名: 建筑物, 楼房	सं: इमारत, भवन	اسم: مَبْنًى، بِنَاء		
kostruiyen	derived	b	n: builder	s: konstruisto, konstruanto		profesi			kostrui + -yen					FALSE	s: constructor		n: constructeur, bâtisseur		名: 建筑工人, 建造者	सं: निर्माता, राजमिस्त्री	اسم: بَنَّاء، عَامِل بِنَاء		
kostum	root	b	n: costume, suit	s: kostumo		labas			Englisa (costume), Fransesa (costume), Rusisa (костюм “kostyum”), Doycisa (Kostüm), Indonesisa (kostum), Pilipinasa (kasuutan), Turkisa (kostüm), Parsisa (کاستیوم “kâstyum”)					TRUE	s: traje, disfraz		n: costume		名: 服装, 套装	सं: पोशाक, सूट	اسم: بَدْلَة، زِيّ		
koton	root	b	n: cotton	s: kotono		materyal			Arabisa (قُطْن “quṭn”, قُطُن “quṭun”), Hindi (कॉटन “kŏṭan”), Indonesisa (katun), Pilipinasa (koton), Englisa (cotton), Fransesa (coton), Espanisa (algodón), Koreasa (코튼 “koteun”), Niponsa (コットン “kotton”)					TRUE	s: algodón		n: coton		名: 棉花	सं: रुई, कपास	اسم: قُطْن		
kotormarka	derived	b	n: stain, blemish	s: makulo	Added translation (was empty); matched to duplicate row 491				kotor + marka					FALSE	s: mancha		n: tache		名: 污点, 污渍	सं: धब्बा, दाग़	اسم: بُقْعَة، لَطْخَة		
kotorya	derived	b	n: dirtiness, uncleanliness	s: malpureco					kotor + -ya					FALSE	s: suciedad		n: saleté, malpropreté		名: 肮脏, 不洁	सं: गंदगी, मैलापन	اسم: قَذَارَة، وَسَاخَة		
kotu	root	b	n: coat, overcoat	s: palto, surtuto	Removed 'jako' (= jacket, not overcoat)	labas			Englisa (coat), Hindi (कोट “kot”), Niponsa (コート “koto”), Telugusa (కోటు “kotu”), Koreasa (코트 “kotu”), Parsisa (کت “kot”), Swahilisa (koti)					TRUE	s: abrigo		n: manteau, pardessus		名: 外套, 大衣	सं: कोट, ओवरकोट	اسم: مِعْطَف		
kowa	root	b	n: power, force	s: potenco, forto, povo					Arabisa (قوة “kua”), Indonesisa (kuat - bala), Turkisa (kuvvet), Parsisa (قوت “kovat”), Hindi (क़ुव्वत “kuvvat”)					TRUE	s: poder, fuerza		n: pouvoir, puissance, force		名: 力量, 权力	सं: शक्ति, ताक़त	اسم: قُوَّة، سُلْطَة		
koyote	root	b	n: coyote	s: kojoto		bwaw			Englisa (coyote), Espanisa (coyote), Fransesa (coyote), Rusisa (койот “koyot”), Doycisa (Kojote), Indonesisa (koyote), Pilipinasa (koyote), Hindi (कायोटी “kayoti”), Arabisa (قَيُّوط “kayyut”), Niponsa (コヨーテ “koyote”), Keralasa (കയോട്ടി “kayeati”), Koreasa (코요테 “koyote”), Parsisa (کایوت “kâyot”)					TRUE	s: coyote	Kojote	n: coyote	койот	名: 郊狼, 丛林狼	सं: कोयोट	اسم: ذِئْب القَيُّوط، قَيُّوط		
krabe	root	b	n: crab, _Brachyura_	s: krabo		sadafayen			Englisa (crab), Fransesa (crabe), Doycisa (Krebs), Rusisa (краб “krab”), Hindi (केकड़ा “kekṛā”), Swahilisa (kaa), Vyetnamsa (cua)					TRUE	s: cangrejo	Krabbe	n: crabe	краб	名: 螃蟹, 蟹	सं: केकड़ा	اسم: سَلْطَعُون، سُرْطَان		
krabemaso	derived	b	n: crab (_meat_), crabmeat	s: krabaĵo					krabe + maso					FALSE	s: carne de cangrejo		n: chair de crabe		名: 蟹肉	सं: केकड़े का मांस	اسم: لَحْم السَّلْطَعُون		
krasidoku	derived	b	n: constitution	s: konstitucio		politi			krasi + doku					FALSE	s: constitución		n: constitution		名: 宪法	सं: संविधान	اسم: دُسْتُور		
krasisistema	derived	b	n: regime	s: reĝimo		politi			krasi + sistema	krasi-sistema				FALSE	s: régimen		n: régime (_politique_)		名: 政权, 政体	सं: शासन, हुकूमत	اسم: نِظَام، نِظَام حُكْم		
krasitim	derived	b	n: government	s: registaro		politi			krasi + -tim					FALSE	s: gobierno		n: gouvernement		名: 政府	सं: सरकार	اسم: حُكُومَة		
krasiyen	derived	b	n: ruler	s: reganto, registo		politi			krasi + -yen					FALSE	s: gobernante		n: dirigeant, souverain		名: 统治者, 执政者	सं: शासक, हाकिम	اسم: حَاكِم		
