Word	slug_mod	Category	WordClass	VerbTransitivity	OfficialWord	TranslationEng	SearchTermsEng	TranslationEpo	TranslationSpa	TransNote	TranslationDeu	Synonyms	Antonyms	Example	Tags	LexiliAsel	See Also	TranslationFra	TranslationRus	TranslationZho	
bekir		root	t		FALSE	virgin		virga; virge	virgen							Arabisa (بِكْر “bikr”), Swahilisa (bikira), Parsisa (بکر “bekr”, باکره “bâkere”), Turkisa (bakir, bakire)			девственный		
bekiryen		derived	b		FALSE	virgin		virgulo, vigulino	(persona) virgen							bekir + -yen			девственник, девственница		
bekoneyen		derived	b		FALSE	acquaintance		konato	conocido (_persona_)							be- + kone + -yen					
bekreayen		derived	b		FALSE	creature		kreitaĵo	criatura, creatura							be- + krea + -yen					
belaka		root	b		TRUE	raft		floso	balsa						tul	Hindi (बेड़ा “beṛa”), Banglasa (ভেলা “bela”), Telugusa (బల్లకట్టు “ballakattu”), Vyetnamsa (bè), Parsisa (بلم “balam”, کلک “kalak”, کرجی “karaji”), Espanisa (balsa), Portugalsa (balsa)					
Belarus		proper word	su n		TRUE	Belarus		Belorusio, Belorusujo	Bielorrusia						dexa	Belarussa (Беларусь “Belarus”)			Белоруссия, Беларусь		
Belarussa		derived	b		FALSE	Belarusian (language)		la belorusa (lingvo)	(idioma) bielorruso						basa	Belarus + -sa			Белорусский (язык)		
Belaw		proper word	su n		TRUE	Palau		Palaŭo	Palaos						dexa	Belawsa (Belau)			Палау		
Belgi		proper word	su n		TRUE	Belgium		Belgio, Belgujo	Bélgica						dexa	Nederisa (België), Fransesa (Belgique), Doycisa (Belgien)			Бельгия		
Belgili		derived	t		FALSE	Belgian		belga; belge	belga							Belgi + -li					
Belgiyen		derived	b		FALSE	Belgian		belgo	belga (_persona_)							Belgi + -yen			бельгиец, бельгийка		
Belinshawsen		proper word	su n		FALSE	Bellingshausen		(maro de) Bellingshausen	Bellingshausen (_mar, explorador_)						name	Rusisa (Беллинсгаузен “Bellinsgauzen”), Doycisa (Bellingshausen), Espanisa (Bellingshausen), Fransesa (Bellingshausen), Indonesisa (Bellingshausen), Swahilisa (Bellingshausen), Turkisa (Bellingshausen), Vyetnamsa (Bellingshausen), Hindi (बेलिंग्सहाउज़ेन “Belingshauzen”), Arabisa (بلنغهاوزن “Balinghhawzin”), Parsisa (بلینگسهاوزن “Belingshawzen”), Putunhwa (别林斯高晋 “Byelinsigawjin”), Koreasa (벨링스하우젠 “Bellingsuhawjen”), Niponsa (ベリングスハウゼン “Beringusuhawzen”)			Беллинсгаузен		
Belize		proper word	su n		TRUE	Belize		Belizo	Belice						dexa	Englisa (Belize), Espanisa (Belice)			Белиз		
Belizeyen		derived	b		FALSE	Belizean (_person_)		belizano	beliceño (_persona_)							Belize + -yen					
belo		root	b		TRUE	hair, fur		hararo, felo	pelo, pelaje, vello						jismulogi	Doycisa (Pelz), Espanisa (pelo, vello), Hindi (बाल “bal”), Indonesisa (bulu)					
belomon		derived	b		FALSE	single hair, strand of hair, strand of fur		haro, felero	pelo, vello (_uno o pocos_)							belo + -mon					
belopul		derived	t		FALSE	hairy, furry		harplena, harhava, felplena; harplene	peludo, velludo							belo + -pul					
beltu		root	b		TRUE	belt		zono, rimeno	cinturón							Englisa (belt), Hindi (बेल्ट “belt”), Niponsa (ベルト “beruto”), Telugusa (బెల్టు “beltu”), Koreasa (벨트 “beltu”)					
belu		root	b		TRUE	bel (unit)		belo (mezurunuo), dek decibeloj	bel (_unidad de nivel de presión sonora_), belio, B		Bel				meterya	Englisa (bel), Espanisa (belio), Fransesa (bel), Rusisa (бел “bel”), Doycisa (Bel), Indonesisa (bel), Pilipinasa (bel), Putunhwa (貝 “bey”), Hindi (बेल “bel”), Arabisa (بل “bal”), Niponsa (ベル “beru”), Telugusa (బెల్ “bel”), Turkisa (bel), Koreasa (벨 “bel”), Vyetnamsa (bel), Parsisa (بل “bel”), Swahilisa (beli)		bel	бел	貝	
belubiyen		derived	b		FALSE	loved one		amato	ser querido			azizuyen				be- + lubi + -yen					
Belzebul		proper word	su n		FALSE	Beelzebub		Belzebubo	Belcebú						name	Englisa (Beelzebub), Espanisa (Belcebú, Beelzebub), Fransesa (Belzébuth, Béelzéboul), Rusisa (Вельзевул “Velzevul”), Doycisa (Beelzebub), Indonesisa (Beelzebul), Pilipinasa (Beelzebul), Hindi (बअलजबूल “Baaljabul”), Telugusa (బయెల్జెబూలు “Bayeljebulu”), Arabisa (بَعْل زَبُوب “Ba'l zabub”, بَعْلْزَبُول “Ba'lzabul”), Swahilisa (Beelzebuli), Parsisa (بعلزبول “balzebul”), Turkisa (Baalzavul), Putunhwa (别西卜 “Byexibu”, 貝耳則步 “Beerdzebu”), Koreasa (바알세불 “Baalsebul”), Niponsa (ベルゼブル “Beruzaburu”), Vyetnamsa (Bê-ên-xê-bun)			Вельзевул		
bembi		root	b.oro		TRUE	constipation; constipate, get constipated		konstipo, mallakso; konstipi, konstipiĝi	estreñimiento, constipación de vientre; estar estreñido; estreñir						medis	Putunhwa (便秘 “byenbi”), Niponsa (便秘 “benpi”), Koreasa (변비 “byonbi”)					
bembido		derived	t		FALSE	constipated		konstipita, mallaksa	estreñido							bembi + -do					
bemedisyen		derived	b		FALSE	patient		kuracato	paciente (_salud_)							be- + medis + -yen					
bendaji		root	b.oj		TRUE	bandage, dressing; bandage, dress		bandaĝo, pansaĵo; bandaĝi, pansi	venda, vendaje; vendar						medis	Doycisa (Bandage), Englisa (bandage), Espanisa (vendaje), Fransesa (bandage), Rusisa (бандаж “bandaj”), Pilipinasa (bendahe), Turkisa (bandaj), Swahilisa (bendeji)					
bendu		root	b		TRUE	tape, band, strip, strap, ribbon		bendo, rubando	cinta, banda, listón							Englisa (band), Fransesa (bande), Doycisa (Band), Portugalsa (banda), Pilipinasa (banda), Hindi (बाँधना “bandna”), Niponsa (バンド “bando”), Turkisa (bant), Vyetnamsa (băng, băng từ), Koreasa (밴드 “bendu”), Parsisa (بند “band”), Swahilisa (bendi)					
benge		root	b.oj		TRUE	excuse, pretext, justification; make excuses (for), excuse, justify (oneself)		preteksto; preteksti	excusa, pretexto, justificación; excusar, pretextar, justificar							Putunhwa (辩解 “byenjye”), Koreasa (핑계 “pinggye”), Niponsa (弁解 “benkai”)	Parsisa (بهانه “bahâne”), Turkisa (bahane)				
Benin		proper word	su n		TRUE	Benin		Benino	Benín						dexa	Fransesa (Bénin)			Бенин		
Beninyen		derived	b		FALSE	Beninese (_person_)		beninano	beninés (_persona_)							Benin + -yen					
benji		root	b		TRUE	essence (_intrinsic quality_)		esenco (_apriora/imanenta eco/kvalito_)	esencia (_cualidad intrínseca_)							Putunhwa (本质 “běnzhí”), Koreasa (본질 “bonjil”), Vyetnamsa (bản chất)					
benjilexi		derived	b		FALSE	noun, verb, noun-verb word		substantivo, verbo, substantivverbo, o-i-vorto	sustantivo-verbo							benji + -lexi					
benjili		derived	t		FALSE	essential, inherent; essentially, inherently		esenca, imanenta; esence	esencial, inherente, intrínseco; esencialmente, inherentemente, intrínsecamente							benji + -li					
benjunfo		root	b		FALSE	dialectics, dialectic		dialektiko	dialéctica						palalogi	Putunhwa (辩证法 “byenjengfa”), Niponsa (弁証法 “benxoho”), Koreasa (변증법 “byonjungbob”), Vyetnamsa (biện chứng)					
benjunfoli		derived	t		FALSE	dialectical		dialektika; dialektike	dialéctico (_relativo a la dialéctica_)							benjunfo + -li					
benki		root	b		TRUE	bench		benko	banco (_asiento largo_), banca, banquillo, poyo						mubile	Doycisa (Bank), Englisa (bench), Espanisa (banca, banco), Fransesa (banc), Indonesisa (bangku), Pilipinasa (bangko), Turkisa (bank), Hindi (बैंच “benc”), Telugusa (బెంచ్ “benc”), Swahilisa (benchi), Niponsa (ベンチ “benci”), Koreasa (벤치 “benci”), Vyetnamsa (băng ghế)					
benti		root	b		TRUE	calf (_anatomy_)		suro, tibikarno	gemelos (_parte de la pierna_), pantorrillas						jismulogi	Indonesisa (betis), Pilipinasa (binti), Hindi (पिंडली “pindali”), Turkisa (baldır)					
Benyamin		proper word	su n		FALSE	Benjamin		Benjameno	Benjamín						name	Englisa (Benjamin), Espanisa (Benjamín), Fransesa (Benjamin), Rusisa (Вениамин “Veniamin”), Doycisa (Benjamin), Indonesisa (Benyamin), Pilipinasa (Benjamin), Hindi (बिन्यामीन “Binyamin”), Telugusa (బెన్యామీను “Benyaminu”), Arabisa (بِنْيَامِين “Binyamin”), Swahilisa (Benyamini), Parsisa (بنیامین‌ “Benyâmin”), Turkisa (Benyamin), Putunhwa (便雅悯 “Byenyamin”, 本雅明 “Benyaming”), Koreasa (베냐민 “Benyamin”), Niponsa (ベニヤミン “Beniyamin”), Vyetnamsa (Bên-gia-min)			Вениамин		
benzol		root	b		TRUE	benzene, benzole		benzeno	benceno, benzol							Rusisa (бензол “benzol”), Doycisa (Benzol), Niponsa (ベンゼン “benzen”, ベンゾール “benzoru”), Koreasa (벤젠 “benjen”, 벤졸 “benjol”), Englisa (benzene), Espanisa (benceno), Fransesa (benzéne), Indonesisa (benzena), Pilipinasa (bensina), Putunhwa (苯 “ben”), Arabisa (بَنْزِين‎ “banzin”), Telugusa (బెంజీన్ “benjin”), Turkisa (benzen), Vyetnamsa (benzen), Parsisa (بنزن‎ “banzen”), Swahilisa (benzini)			бензол		
beokomusi		derived	t		FALSE	must-see		videnda; vidende	que hay que ver			okobisu				be- + oko + -musi					
bepayayen		derived	b		FALSE	payee		pagito, pagato	beneficiario, receptor del pago							be- + paya + -yen					
beri		root	b		TRUE	berry		bero	baya						fruta, yamxey, plantalogi	Doycisa (Beere), Englisa (berry), Hindi (बेरी “beri”), Telugusa (బెర్రీ “berrī”)					
berilyum		root	b		TRUE	beryllium, Be		berilio, glucinio	berilio, Be						kimikali monlari	Englisa (beryllium), Espanisa (berilio), Arabisa (بيريليوم “birilyum”), Fransesa (béryllium), Rusisa (бериллий “berilliy”), Indonesisa (berilium), Doycisa (Beryllium), Niponsa (ベリリウム “beririumu”), Telugusa (బెరీలియం “beriliyam”), Turkisa (berilyum), Koreasa (베릴륨 “berillyum”), Vyetnamsa (berili, beri), Parsisa (بریلیوم “beriliyom”), Swahilisa (berili), Pilipinasa (berilyo, berilyum)			бериллий		
Bering		proper word	su n		FALSE	Bering		Bering, Beringa maro	Be(h)ring (_mar, estrecho, explorador_)						name	Danisa (Bering), Rusisa (Беринг “Bering”), Espanisa (Bering), Fransesa (Bering), Doycisa (Bering), Indonesisa (Bering), Pilipinasa (Bering), Swahilisa (Bering), Turkisa (Bering), Vyetnamsa (Bering), Hindi (बेरी “beri”), Arabisa (بيرنغ “Biringh”), Parsisa (برینگ “Bering”), Putunhwa (白令 “Bayling”), Koreasa (베링 “Bering”), Niponsa (ベーリング “Beringu”)			Беринг		
berkelyum		root	b		TRUE	berkelium, Bk		berkelio	berkelio, Bk						kimikali monlari	Englisa (berkelium), Hindi (बर्केलियम “berkeliyam”), Espanisa (berkelio), Arabisa (بِرْكِلْيُوم “birkilyum”), Fransesa (berkélium), Rusisa (берклий “berkliy”), Indonesisa (berkelium), Doycisa (Berkelium), Niponsa (バークリウム “bakuriumu”), Telugusa (బెర్కీలియం “berkiliyam”), Turkisa (berkelyum), Koreasa (버클륨 “bakulyum”), Vyetnamsa (berkeli), Parsisa (برکلیم “berkelyom”), Swahilisa (berkeli), Pilipinasa (berkelyo)			берклий		
bete		root	b		TRUE	daughter, son, child, children		filo, filino, gefiloj	hijo						famil	Hindi (बेटा “beta”, बेटी “beti”), Ivrisa (הבן “ben”, בת “bat”)					
betekal		derived	t		FALSE	childless		seninfana; seninfane	sin hijos							bete + -kal					
beton		root	b		TRUE	concrete (_material_)		betono	hormigón, concreto						materyal	Fransesa (béton), Rusisa (бетон “beton”), Doycisa (Beton), Portugalsa (betão), Italisa (beton), Indonesisa (beton), Putunhwa (砼 “tong”), Turkisa (beton), Vyetnamsa (bê tông), Parsisa (بتن “beton”)			бетон		
betula		root	b		TRUE	birch (tree)		betulo	abedul, _Betula_		Birke				planta, drevo	Espanisa (abedul), Indonesisa (betula), Pilipinasa (abedul), Arabisa (بَتُولَا “batula”), Swahilisa (mbetula), Syensilatinsa (Betula)			берёза		
bexikaryen		derived	b		FALSE	game, prey		predo, ĉasato	presa (_animal que puede ser cazado o pescado_)				xikaryen			be- + xikar + -yen					
bexin		root	b		TRUE	jury		ĵurio	jurado						politi, lega	Putunhwa (陪审 “peyxen”), Niponsa (陪審 “bayxin”), Vyetnamsa (bồi thẩm), Koreasa (배심 “bexim”)					
bexorfobi		derived	b.oj		FALSE	get scared (of)		ektimo, timiĝo; ektimi, timiĝi	asustarse							be- + xor- + fobi					
beygel		root	b		TRUE	bagel		bagelo	_bagel_						yamxey	Yehudili Doycisa (בייגל “beygl”), Englisa (bagel), Espanisa (bagel, baguel), Fransesa (bagel, baguel, beguel), Rusisa (бейгл “beygl”, бейгель “beygel”), Doycisa (Bagel), Indonesisa (bagel, beigel), Pilipinasa (beygel), Putunhwa (焙果 “beygwo”), Hindi (बैगल रोटी “begal roti”), Niponsa (ベーグル “beiguru”), Turkisa (bagel), Koreasa (베이글 “beygul”), Parsisa (بیگل “beygel”)			бейгл, бейгель		
beykon		root	b		TRUE	bacon		lardo	tocino, panceta, beicon						yamxey	Englisa (bacon), Espanisa (beicon), Rusisa (бекон “bekon”), Indonesisa (bakon), Hindi (बेकन “bekan”), Arabisa (بَاكُون “bakun”, بَيْكُون “baykun”), Niponsa (ベーコン “beykon”), Koreasa (베이컨 “beykon”), Parsisa (بیکن “beyken”), Swahilisa (bekoni)			бекон		
beyongukal		derived	t		FALSE	useless		senutila, neutila, malultila; senutile, neutile, malultile	inútil; inútilmente				beyongupul			be- + yongu + -kal					
beyongupul		derived	t		FALSE	useful; usefully		utila; utile	útil							be- + yongu + -pul					
beze		root	b		TRUE	bee, _Anthophila_		abelo	abeja, _Anthophila_						hewan	kwasilexi - Fransesa (bzzz), Englisa (buzz), Polskasa (bzzz, bzyk), Turkisa (vız)			пчела		
bezedom		derived	b		FALSE	apiary		abelejo	colmenar, apiario							beze + -dom			пасека, пчельник		
bezekaxa		derived	b		FALSE	beehive		abelujo	colmena							beze + -kaxa			улей		
bezelari		derived	b		FALSE	swarm of bees	swarm of bees, swarm	abelaro	enjambre (de abejas)							beze + -lari			рой пчел		
bezeyen		derived	b		FALSE	beekeeper		abelisto	apicultor, colmenero, abejero							beze + -yen			пчеловод, пасечник, пасечница, пчеловодец		
biber		root	b		TRUE	beaver, _Castor_		kastoro	castor, befre, bíbaro, _Castor_						hewan, nageyen	Englisa (beaver), Rusisa (бобр “bobr”, бобёр “bobyor”), Doycisa (Biber), Niponsa (ビーバー “biba”), Koreasa (비버 “biba”), Swahilisa (biva)			бобр, бобёр, бобриха		
bibi		root	b.oj		TRUE	honk; honk		hupo; hupi, korni, pepi	pitido, claxon, bocinazo; pitar, sonar (el claxon)						soti	kwasilexi - Arabisa (بييييب “biiiib”), Englisa (beep beep), Rusisa (бип “bip”), Portugalsa (bip), Pilipinasa (beep beep), Turkisa (bip), Vyetnamsa (bíp)					
Bibli		proper word	su n		FALSE	(the) Bible		(la) Biblio	Biblia						dini	Doycisa (Bibel), Englisa (Bible), Espanisa (Biblia), Fransesa (Bible), Rusisa (Библия “Bibliya”), Pilipinasa (Bibliya), Hindi (बाइबिल “Baybil”), Swahilisa (Biblia), Telugusa (బైబిల్ “Baybil”), Niponsa (バイブル “Bayburu”)			Библия		
bideti		root	b		FALSE	bidet		bideo	bidé							Englisa (bidet), Espanisa (bidé), Fransesa (bidet), Rusisa (биде “bide”), Doycisa (Bidet), Indonesisa (bidet), Parsisa (بیده “bide”), Turkisa (bide), Koreasa (비데 “bide”), Niponsa (ビデ “bide”), Vyetnamsa (bidet). Am kompara: bufeti.			биде		
bidzu		root	b		FALSE	bead		bido, (artefarita) perlo	cuenta, abalorio, mostacilla, chaquira; poner cuentas (a)						xey	Englisa (beads), Koreasa (비즈 “biju”), Niponsa (ビーズ “bizu”)					
bija 		root	b.oj		TRUE	seed; sow		semo; semi	semilla; sembrar						plantalogi	Hindi (बीज “bij”), Arabisa (بذرة “bidhara”), Indonesisa (biji), Karnatakasa (ಬೀಜ “bīja”)					
bijamosem		derived	b		FALSE	spring		printempo	primavera							bija + -mosem			весна		
bikini		root	b		FALSE	bikini		bikino	bikini, biquini						labas	Englisa (bikini), Espanisa (bikini), Fransesa (bikini), Rusisa (бикини “bikini”), Doycisa (Bikini), Indonesisa (bikini), Pilipinasa (bikini), Hindi (बिकिनी “bikini”), Telugusa (బికినీ “bikini”), Arabisa (بِيكِينِي “bikini”), Swahilisa (bikini), Parsisa (بیکینی “bikini”), Turkisa (bikini), Putunhwa (比基尼 “bijini”), Koreasa (비키니 “bikini”), Niponsa (ビキニ “bikini”), Vyetnamsa (bikini)			бикини		
bildircin		root	b		FALSE	quail		koturno	codorniz, colín, corcovado, _Odontophoridae_, _Synoicus_, _Coturnix_, perdicilla, _Ophrysia_, _Perdicula_						hewan, piu	Turkisa (bıldırcın), Parsisa (بلدرچین “belderčin”)			перепел		
bilyardi		root	b		FALSE	billiards, pool, cue sport		bilardo	billar, _pool_						yuxi	Englisa (billiards), Espanisa (billar), Fransesa (billards), Rusisa (бильярд “bilyard”), Doycisa (Billard), Indonesisa (biliar), Pilipinasa (bilyar), Hindi (बिलियर्ड्स “biliyards”, बिलियर्ड “biliyard”), Arabisa (بِلْيَارْدُو “bilyardu”), Swahilisa (biliadi), Parsisa (بیلیارد “bilyârd”), Turkisa (bilardo), Niponsa (ビリヤード “biriyado”, Vyetnamsa (bi-a)			бильярд		
bimar		root	t		TRUE	sick, ill		malsana; malsane	enfermo				seha		medis	Hindi (बीमार “bimar”), Parsisa (بیمار “bimar”)			больной, хворый		
bimarcu		derived	b.nenoj		FALSE	get sick, fall ill		malsaniĝo; malsaniĝi	enfermarse				sehacu			bimar + -cu					
bimarfil		derived	t		FALSE	sickly		malsanema; malsaneme	enfermizo							bimar + -fil					
bimargi		derived	b.oj		FALSE	sicken, make sick, make ill		malsanigo; malsanigi	enfermar (a)							bimar + -gi					
bimarya		derived	b		FALSE	illness, disease		malsano	enfermedad				sehaya			bimar + -ya					
bimaryen		derived	b		FALSE	patient, sick person		malsanulo	enfermo (_persona_)							bimar + -yen					
bimaryendom		derived	b		FALSE	hospital		malsanulejo	hospital, nosocomio			hospital				bimar + -yen + -dom					
binan		root	b.oj		TRUE	refuge, shelter; give refuge, shelter		rifuĝo; rifuĝigi, rifuĝi	refugio (_acción_); refugiar, albergar							Putunhwa (避难 “bìnàn”), Koreasa (피난 “pinan”), Niponsa (避難 “hinan”)					
binandom		derived	b		FALSE	asylum, refuge		rifuĝejo	asilo, refugio, albergue							binan + -dom					
binde		root	b.oj		TRUE	binding; tie, bind, fasten (together)		bindo, (kun)ligo; bindi, (kun)ligi	amarre, atadura; amarrar, atar							Englisa (bind), Doycisa (binden), Hindi (बांधना “bandana”), Telugusa (బంధము “bandamu”)					
bindetul		derived	b		FALSE	buckle		buko, bindilo	hebilla, broche							binde + -tul					
bingo		root	b		FALSE	bingo		bingo	bingo, lotería						yuxi	Englisa (bingo), Espanisa (bingo), Fransesa (bingo), Rusisa (бинго “bingo”), Doycisa (Bingo), Indonesisa (bingo), Pilipinasa (binggo), Hindi (बिंगो “bingo”), Telugusa (బింగో “bingo”), Arabisa (بِنجو “binju”), Parsisa (بینگو “bingo”), Turkisa (bingo), Putunhwa (宾果 “bingwo”), Koreasa (빙고 “binggo”), Niponsa (ビンゴ “bingo”), Vyetnamsa (bài bingo, rò chơi bingo)			бинго		
bio		root	b		TRUE	life (_organisms_)		vivo (_organisma_)	vida (_organismos_)							Englisa (biology), Fransesa (biologie), Doycisa (Biologie), Rusisa (биология “biologiya”), Espanisa (biología), Turkisa (biyoloji), Indonesisa (biologi), Pilipinasa (biyolohiya), Parsisa (بیولوژی “bioloži”), Swahilisa (biolojia), Elinisa (βίος “bios”)					
biodoyanya		derived	b		FALSE	biodiversity		biodiverseco	biodiversidad							bio + doyan + -ya			биоразнообразие		
biokimika		derived	b		FALSE	biochemistry		bioĥemio, biokemio	bioquímica							bio + kimika			биохимия		
bioli		derived	t		FALSE	organic, biological; organically, biologically		biologia	orgánico, biológico							bio + -li					
biologi		derived	b		FALSE	biology		biologio	biología							bio + -logi			биология		
biologiyen		derived	b		FALSE	biologist		biologiisto	biólogo							bio + -logi + -yen			биолог		
biomekanilogi		derived	b		FALSE	biomechanics		biomeĥaniko, biomekaniko	biomecánica							bio + mekani + -logi			биомеханика		
biotekno		derived	b		FALSE	biotechnology		biotekniko, bioteknologio	biotecnología							bio + tekno			биотехнология		
bioyen		derived	b		FALSE	life form, living organism, being		vivaĵo, viva organismo, estulo	forma de vida, organismo							bio + -yen					
bira		root	b		TRUE	beer		biero	cerveza						gluxey	Englisa (beer), Fransesa (bière), Doycisa (Bier), Hindi (बीयर “biyar”), Indonesisa (bir), Turkisa (bira), Arabisa (بيرة “bayra”), Swahilisa (bia)			пиво		
biradom		derived	b		FALSE	bar, pub, tavern; brewery		bierejo, trinkejo, drinkejo, taverno; bierfarejo	bar, cantina, taberna, cervecería							bira + -dom					
biradomyen		derived	b		FALSE	bartender		bierejisto, trinkejisto, bufedisto, drinkejisto	cantinero, tabernero, barman							bira + -dom + -yen					
birke		root	b.oro		FALSE	pool, puddle; pool		flako; flakiĝi, flakigi	charco, lapacha, lagunar, lagunazo, aguachar, lagareta; encharcar, hacer charcos; encharcarse							Arabisa (بِرْكَة “birka”), Turkisa (birikinti), Parsisa (برکه “berke”)					
bisagra		root	b		FALSE	hinge		ĉarniro	bisagra, gozne						tul	Espanisa (bisagra), Pilipinasa (bisagra), Magribili Arabisa (بزاڭرة‎ “bazagra”)					
biskiti		root	b		TRUE	cookie, biscuit		biskvito	galleta						yamxey	Englisa (biscuit, biscotti), Fransesa (biscuit), Italisa (biscotto), Rusisa (бисквит “biskvit”), Indonesisa (biskit, biskuit), Pilipinasa (biskuwit), Hindi (बिस्कुट “biskut”), Arabisa (بَسْكَوِيت “baskawit”), Niponsa (ビスケット “bisuketo”), Telugusa (బిస్కట్ “biskat”), Turkisa (bisküvi), Koreasa (비스킷 “bisukit”), Vyetnamsa (bánh quy, bích quy), Swahilisa (biskuti)					
biskopo		root	b		TRUE	bishop		episkopo	obispo						dini	Doycisa (Bischof), Englisa (bishop), Espanisa (obispo), Rusisa (епископ “episkop”), Hindi (बिशप “bixap”), Telugusa (బిషప్ “bixap”), Arabisa (أسقف “'usquf”), Parsisa (اسقف “osqof”), Swahilisa (askofu), Turkisa (piskopos), Indonesisa (uskup), Pilipinasa (obispo)			епископ		
bismuto		root	b		TRUE	bismuth, Bi		bismuto	bismuto, Bi						kimikali monlari	Englisa (bismuth), Putunhwa (鉍 “bi”), Espanisa (bismuto), Arabisa (بِزْمُوث “bizmut”), Fransesa (bismuth), Rusisa (висмут “vismut”), Indonesisa (bismut), Doycisa (Wismut), Niponsa (ビスマス “bisumusu”), Telugusa (బిస్మత్ “bismat”), Turkisa (bizmut), Koreasa (비스무트 “bisumutu”), Vyetnamsa (bitmut, bismut), Parsisa (بیسموت “bismut”), Swahilisa (bismuthi), Pilipinasa (bismuto, bismut)			висмут		
bisnes		root	b		TRUE	business		komerco; komerci	negocio	kompara: firma, xogyo					profesi	Englisa (business), Fransesa (business), Indonesisa (bisnis), Rusisa (бизнес “biznes”), Niponsa (ビジネス “bijinesu”)					
bisnesyen		derived	b		FALSE	businessman, businesswoman		komercisto	persona de negocios, negociante							bisnes + -yen					
bison		root	b		FALSE	bison		bizono	bisonte, cíbolo, toro mexicano, toro mejicano, búfalo, _Bison_						hewan	Englisa (bison), Espanisa (bisonte), Fransesa (bison), Rusisa (бизон “bizon”), Doycisa (Bison), Indonesisa (bison), Pilipinasa (bison), Hindi (बायसन “baysan”), Arabisa (بِيسُون “bisun”), Swahilisa (baisani), Parsisa (بایسن “bâyson”), Turkisa (bizon), Koreasa (바이슨 “baysun”), Niponsa (バイソン “bayson”), Vyetnamsa (bison)			бизон		
bistar		root	b		TRUE	bed		lito	cama, lecho						mubile	Hindi (बिस्तर “bistar”), Parsisa (بستر “bistar”)					
bisteki		root	b		TRUE	steak, beefsteak		bifsteko	bistec, bisté, bistez						yamxey	Englisa (beefsteak), Espanisa (bistec, bisté), Fransesa (bifteck), Rusisa (бифштекс “bifxteks”), Doycisa (Beefsteak), Portugalsa (bife), Italisa (bistecca), Indonesisa (bistik), Pilipinasa (isteyk, istik), Hindi (स्टेक “sṭek”), Arabisa (سْتَيْك “stayk”, سْتِيك “steyk”, سْتِيك “stīk”), Niponsa (ステーキ “sutēki”), Telugusa (స్టేక్ “stek”), Turkisa (bifstek), Vyetnamsa (bít tết), Koreasa (스테이크 “suteyku”), Parsisa (بیفتک “biftek”, استیک “esteyk”), Swahilisa (steki)			бифштекс		
bisu		root	t		FALSE	compulsory, mandatory, indispensable, essential, which must be done, which must happen		deviga, enda, kiu devas esti; devige, ende	obligatorio, compulsorio, forzoso, indispensable, esencial, que tiene que hacerse, que debe hacerse	kompara: musi					modaliya	Putunhwa (必须 “bixu”), Niponsa (必須 “hisu”), Koreasa (필수 “pilsu”)					
biti		root	b		TRUE	bit (_unit of information_)		bito	bit (_unidad de información_), dígito binario, b						komputatora, meterya	Englisa (bit), Fransesa (bit), Doycisa (Bit), Portugalsa (bit), Indonesisa (bit), Pilipinasa (bit), Turkisa (bit), Vyetnamsa (bit), Rusisa (бит “bit”), Putunhwa (比特 “bite”), Hindi (बिट “bit”), Arabisa (بت “bit”), Niponsa (ビット “bitto”), Telugusa (బిట్ “bit”), Koreasa (비트 “bitu”), Parsisa (بیت “bit”), Swahilisa (biti)			бит		
bitu		root	b		TRUE	beet		beto	remolacha, betabel, betarraga, _Beta vulgaris_						sabzi, yamxey	Englisa (beet), Espanisa (betabel), Fransesa (beterave, bette), Doycisa (Bete), Indonesisa (bit), Niponsa (テーブルビート “teburubito”), Telugusa (బీటుదుంప “bitudumpa”)					
bla		root	b.oj.ru		TRUE	chat; chat		babilo; babili	charla, plática; charlar, platicar						palalogi	Englisa (blah, blah blah), Fransesa (bla-bla), Doycisa (Blabla, blablabla), Rusisa (бла-бла-бла “bla-bla-bla”), Espanisa (bla, blablablá), Putunhwa (阿巴阿巴 “ābā'ābā”)			свёкла		
bladom		derived	b		FALSE	chat room		babilejo	(sala de) chat							bla + -dom					
blakjaku		root	b		TRUE	blackjack		_blackjack_, nigra fanto (_kartludo_)	_blackjack_, veintiuno (_juego de cartas_)						yuxi	Englisa (blackjack), Espanisa (Blackjack), Doycisa (Blackjack), Niponsa (ブラックジャック “burakkujakku”), Koreasa (블랙잭 “bullekjek”), Rusisa (блэкджек “blekdjek”), Hindi (ब्लैकजैक “blekjek”), Fransesa (blackjack), Arabisa (بلاك جاك “blak jak”), Parsisa (بلک‌جک “blak-jak”), Indonesisa (blackjack), Pilipinasa (blackjack), Vyetnamsa (blackjack)					
bleydo		root	b		TRUE	(knife) blade		klingo	cuchilla, hoja (_de arma blanca_)		Klinge				tul	Englisa (blade), Hindi (ब्लेड “bled”), Niponsa (ブレード “buredo”), Telugusa (బ్లేడ్ “bled”)					
blogu		root	b.oj		TRUE	blog; blog		blogo	blog, bitácora						komputatora	Englisa (blog), Fransesa (blog), Doycisa (Blog), Espanisa (blog), Vyetnamsa (blog), Turkisa (blog), Indonesisa (blog), Pilipinasa (blog), Rusisa (блог “blog”), Putunhwa (博客 “bókè”), Niponsa (ブログ “burogu”), Koreasa (블로그 “beullogeu”), Hindi (ब्लॉग “blog”), Telugusa (బ్లాగు “blāgu”), Swahilisa (blogu), Parsisa (وبلاگ “belog”)			блог		
