Word,Category,WordClass,VerbTransitivity,OfficialWord,TranslationEng,SearchTermsEng,TranslationEpo,TranslationSpa,TransNote,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,See Also,TranslationFra,TranslationRus,TranslationZho
Andora,proper word,su n,,TRUE,Andorra,,Andoro,Andorra,,,,,,dexa,Katalunisa (Andorra),,,,
anedota,root,b,,TRUE,anecdote,,anekdoto,anécdota,,,,,,,"Englisa (anecdotal), Espanisa (anécdota), Fransesa (anecdote), Rusisa (анекдот “anyekdót”), Doycisa (Anekdote), Portugalsa (anedota), Italisa (aneddoto), Indonesisa (anekdot), Pilipinasa (anekdota), Turkisa (anekdot)",,,,
anemon,root,b,,TRUE,anemone,,anemono,"anémona (_flor_), anemona, anemone, _Anemone_",,,,,,planta,"Englisa (anemone), Espanisa (anémona), Fransesa (anémone), Rusisa (анемон “anyemón”), Doycisa (Anemone), Indonesisa (anemone), Pilipinasa (anemona), Arabisa (شَقِيقَة النُّعْمَان “xakikat annuman”), Turkisa (anemon), Vyetnamsa (anemone), Hangusa (아네모네 “anemone”)",,,,
angam,root,b,,TRUE,limb,,membro (de korpo),"extremidad, miembro (del cuerpo)",,,,,,jismulogi,"Indonesisa (anggota), Hindi (अंग “ang”), Telugusa (అంగము “angamu”), Parsisa (اندام “andam”)",,,,
Angola,proper word,su n,,TRUE,Angola,,Angolo,Angola,,,,,,dexa,Portugalsa (Angola),,,,
Angolali,derived,t,,FALSE,Angolan,,angola; angole,"angoleño [-a, -e]. alt: angoleña, angoleñe.",,,,,,,Angola + -li,,,,
Angolayen,derived,b,,FALSE,Angolan,,angolano,"angoleño [-a, -e]. alt: angoleña, angoleñe. (_persona_)",,,,,,,Angola + -yen,,,,
anima,root,b.oj,,TRUE,"animation, anime, cartoon; animate",,animacio; animacii,"animación, dibujo (animado), caricatura, _cartoon_, _anime_; animar",,,,,,,"Englisa (animation, animate), Espanisa (animación, animar), Fransesa (animation), Doycisa (Animation), Rusisa (анимация “anyimátsiya”), Indonesisa (animasi), Pilipinasa (animasyon), Turkisa (animasyon), Hindi (एनिमेशन “enimexan”), Arabisa (أَنِمِي “animi”), Niponsa (アニメーション “animexon”, アニメ “anime”), Telugusa (యానిమేషన్ “yanimexan”), Hangusa (애니메이션 “enimeyxon”), Parsisa (انیمیشن “animeyxen”)",,,,
anjen,root,t,,TRUE,"safe, secure; safely, securely",,sekura; sekure,"seguro [-a, -e]. alt: segura, segure.; seguramente",,,,,,,"Putunhwa (安全 “ānquán”), Niponsa (安全 “anzen”), Hangusa (안전 “anjeon”)",,,,
anjengi,derived,b.oj,,FALSE,"secure, save",,sekurigo; sekurigi,asegurar,,,,,,,anjen + -gi,,,,
anjengili,derived,t,,FALSE,safety (_of safety_),,sekuriga; sekurige,de seguridad,,,,,,,anjen + -gi + -li,,,,
anjenkaxa,derived,b,,FALSE,"safe, safebox",,"sekurŝranko, monŝranko",caja fuerte,,,,,,,anjen + -kaxa,,,,
anjenya,derived,b,,FALSE,"safety, security",,sekureco,seguridad,,,,,,,anjen + -ya,,,,
anjil,root,b,,TRUE,"gospel, divine message",,"evangelio, dia mesaĝo","evangelio, mensaje divino",,,,,,dini,"Arabisa (الإنجيل “al'iinjil”), Parsisa (انجیل “injil”), Indonesisa (injil), Swahilisa (injili), Turkisa (İncil), Doycisa (Engel, Evangelium), Englisa (angel), Espanisa (ángel, evangelio), Fransesa (ange), Rusisa (ангел “ángyel”, евангелие “yevángyelyiye”)",,,,
anjilyen,derived,b,,FALSE,angel,,anĝelo,ángel,,,,,,dini,anjil + -yen,,,,
ankara,root,b.oro,?,TRUE,anchor; anchor,,"ankro; ankrumi, ankri","ancla; anclar, anclarse",,,,,,,"Englisa (anchor), Espanisa (ancla, áncora), Fransesa (ancre), Rusisa (якорь “yákory”), Doycisa (Anker), Indonesisa (jangkar), Pilipinasa (angkla, angkora), Hindi (लंगर “langar”, नंगर “nangar”), Arabisa (أَنْجَر “anjar”, الْأَنْجَر “alanjar”), Telugusa (లంగరు “langaru”), Parsisa (لنگر “langar”), Swahilisa (nanga)",,,,
ansya,root,b,,TRUE,anxiety; feel anxious,,anksio,"ansiedad, ansia, preocupación",,,,,,,"Englisa (anxiety), Fransesa (anxiété), Doycisa (ängst), Espanisa (ansia, ansiedad), Turkisa (anksyete)",,,,
ansyafil,derived,t,,FALSE,"anxiety-prone, worrisome",,"zorgema, anksiema; zorgeme, anksieme","ansioso [-a, -e]. alt: ansiosa, ansiose., preocupón [a, e]. alt: preocupona, preocupone.",,,,,,,ansya + -fil,,,,
ansyapul,derived,t,,FALSE,anxious; anxious,,anksia,"preocupado [-a, -e]. alt: preocuoada, preocupade.",,,,,,,ansya + -pul,,,,
Antartiko,proper word,su n,,TRUE,Antarctic (_region or ocean_),,"Antarkta Oceano, Antarkta Regiono",Antártida (_región u océano_),,,,,,"geografi, daygeo","Englisa (Antarctic), Fransesa (antarctique), Doycisa (Antarktis), Rusisa (антарктический “antarktyícyeskyiy”), Espanisa (antártico), Indonesisa (Antarktik), Pilipinasa (Antartiko), Turkisa (Antarktik)",,,,
antelope,root,b,,TRUE,antelope,,antilopo,"antílope, _Bovidae_ (_excepto Bovini y Caprinae_)",,,,,,hewan,"Englisa (antelope), Espanisa (antílope), Fransesa (antilope), Rusisa (антилопа “antyilópa”), Doycisa (Antilope), Indonesisa (Antelop), Pilipinasa (antilope), Turkisa (antilop), Parsisa (آنتلوپ “antelop”)",,,,
antena,root,b,,TRUE,"antenna (_device_), aerial",,anteno (aparato),antena (_dispositivo_),,,,,,,"Englisa (antenna), Espanisa (antena), Fransesa (antenne), Rusisa (антенна “anténna”), Doycisa (Antenne), Indonesisa (antena), Pilipinasa (antena), Hindi (एन्टेना “entena”, ऐंटिना “entina”), Niponsa (アンテナ “antena”), Keralasa (ആന്റിന “antina”), Turkisa (anten), Vyetnamsa (ăngten), Hangusa (안테나 “antena”), Parsisa (آنتن “anten”), Swahilisa (antena)",,,,
anti,root,p,,TRUE,"against, versus",,kontraŭ,"contra, versus",,,,pro,,,"Englisa (anti-), Fransesa (anti-), Doycisa (anti-), Rusisa (анти- “antyi-”), Espanisa (anti-), Indonesisa (anti-), Turkisa (anti-), Hangusa (안티 “anti”), Niponsa (アンチ “anci”)",,,,
anti-,affix,lfik,,TRUE,anti-,,kontraŭ-,"anti-, contra-",,,,pro-,,,Am oko anti.,,,,
antiaksyon,derived,b.oj,,FALSE,counteraction; counteract,,kontraŭago; kontraŭagi,oposición; oponer,,,,,,,anti- + aksyon,,,,
antibioente,derived,b,,FALSE,antibiotic,,antibiotiko,antibiótico,,,,,,,anti- + bio + -ente,,,,
antidokya,derived,b.oj,,FALSE,antidote,,"kontraŭveneno, antidoto",antídoto,,,,,,,anti- + dokya,,,,
antigutonente,derived,b,,FALSE,"anaesthetic, anesthetic",,"anestezanto, anestezantaĵo",anestesia (_sustancia_),,,,,,,anti- + guton + -ente,,,,
Antigwa ji Barbuda,proper word,b,,TRUE,Antigua and Barbuda,,Antigvo kaj Barbudo,Antigua y Barbuda,,,,,,dexa,Englisa (Antigua and Barbuda),,,,
antijento,derived,b.oj,,FALSE,fight against,"fight, fight against",kontraŭbatalo; kontraŭbatali,combatir,,,,,,,anti- + jento,,,,
antili,derived,t,,FALSE,opposing; opposingly,,"opona, onponanta; opone, oponante",oponente,,,,proli,,,anti + -li,,,,
antimonyum,root,b,,TRUE,antimony,,antimono,"antimonio, Sb",,,,,,kimikali monlari,"Englisa (antimony), Espanisa (antimonio), Fransesa (antimoine), Doycisa (Antimon), Indonesisa (antimon), Pilipinasa (intimonyo, antimony), Arabisa (أَنْتِيمُون “antimun”), Niponsa (アンチモン “ancimon”, アンチモニー “ancimoni”), Telugusa (ఆంటిమొని “antimoni”), Turkisa (antimon), Hangusa (안티몬 “antimon”, 안티모니 “antimoni”), Vyetnamsa (antimon), Parsisa (انتیموان “antimuân”), Swahilisa (antimon)",,,,
antipul,derived,t,,FALSE,contrary; contrarily,,kontraŭa; kontraŭe,"contrario [-a, -e]. alt: contraria, contrarie.; contrariamente",,,,propul,,,anti + -pul,,,,
antivirusli,derived,t,,FALSE,antiviral,,"antivirusa, kontraŭvirusa; kontraŭviruse",antiviral,,,,,,medis,anti- + virus + -li,,,,
antiya,derived,b.oj,,FALSE,"opposition, objection; be against, oppose, counter, object (to), mind",,"opozicio, oponado, kontraŭo, kontraŭeco; opozicii, oponi, kontraŭi","oposición, objeción; estar en contra, oponerse",,,,proya,,,anti + -ya,,,,
antiyen,derived,b,,FALSE,"adversary, opponent",,"kontraŭulo, kontraŭanto, oponanto","adversario [-a, -e]. alt: adversaria, adversarie., oponente, antagonista",,,,,,,anti + -yen,,,,
antru,root,b,,TRUE,"intestine, bowel, guts","intestine, bowel, gut, guts","intesto, intestaro, internaĵo(j)","intestino, entrañas, tripa",,,,,,jismulogi,"Hindi (आंत्र “antr”), Telugusa (ఆంత్రము “āntramu”)",,,,
anwi,root,b.oj,b.oro (feel or cause to feel),TRUE,"consolation, solace; comfort, console",,konsolo; konsoli,"consuelo, solaz; consolar, confortar",,,,,,,"Putunhwa (安慰 “anwey”), Vyetnamsa (an ủi), Niponsa (安慰 “ani”), Hangusa (안위 “anwi”)",,,,
anxi,root,b.oj,,TRUE,"implication, hint; imply, allude (to), hint (at), insinuate",,"insinuo, aludo, implico; insinui, aludi, implici, subkomprenigi, duondiri","implicación, insinuación, pista; implicar, insinuar",,,,,,,"Putunhwa (暗示 “anxi”), Niponsa (暗示 “anji”), Hangusa (암시 “amxi”), Vyetnamsa (ám thị)",,,,
anximena,derived,b,,FALSE,connotation; connote,,"implico, subsenco; implici",connotación; connotar,,,,,,,anxi + mena,,,,
aorta,root,b,,TRUE,aorta,,aorto,aorta,,,,,,jismulogi,"Englisa (aorta), Espanisa (aorta), Fransesa (aorte), Rusisa (аорта “aórta”), Doycisa (Aorta), Indonesisa (aorta), Pilipinasa (aorta), Arabisa (أَوُرْطَى “awurta”), Turkisa (aort), Parsisa (آئورت “aort”), Swahilisa (aorta)",,,,
apartamen,root,b,,TRUE,"apartment, flat",,apartamento,"apartamento, departamento, piso (_vivienda_)",,,,,,kostruixey,"Englisa (apartment), Fransesa (appartement), Doycisa (Appartement), Rusisa (апартамент “apartamyént”), Espanisa (apartament), Turkisa (apartman), Indonesisa (apartemen), Pilipinasa (apartment), Niponsa (アパート “apato”), Hangusa (아파트 “apatu”), Hindi (अपार्टमेंट “apartament”), Parsisa (آپارتمان “âpârtemân”)",,,,
apartamenlari,derived,b,,FALSE,(apartment) complex,,apartamentaro,complejo de apartamentos,,,,,,kostruixey,apartamen + -lari,,,,
aplika,root,b.oro,agentless,TRUE,"application; apply (_bring or put into operation or practical use_), be applicable (to)",,apliko; apliki,"aplicación; aplicar (_poner en operación o uso práctico_), aplicarse",,,,,,,"Englisa (apply, application), Fransesa (appliquer), Espanisa (aplicar)",,,,
aplikaible,derived,t,,FALSE,"applicable, appliable; applicably, appliably",,aplikebla; aplikeble,aplicable,,,,,,,aplika + -ible,,,,
aprikoti,root,b,,TRUE,apricot,,abrikoto,"albaricoque, chabacano, _Prunus armeniaca_",,,,,,"fruta, yamxey","Englisa (apricot), Fransesa (abricot), Doycisa (Aprikose), Rusisa (абрикос “abryikós”), Espanisa (albaricoque), Indonesisa (aprikot), Pilipinasa (albarikoke), Swahilisa (aprikoti)",,,,
aproba,root,b.oj,,TRUE,approval; approve (of),,aprobo; aprobi,aprobación; aprobar,,,,,,,"Englisa (approve, approbation), Espanisa (aprobar, aprobación), Fransesa (approuver, approbation), Polskasa (aprobata), Pilipinasa (aproba)",,,,
aprobado,derived,t,,FALSE,approved,,aprobita; aprobite,"aprobado [-a, -e]. alt: aprobada, aprobade.",,,,,,,aproba + -do,,,,
Arabi,proper word,su n,,TRUE,"Arabia, Arabian Peninsula",,"Arabio, Arabujo, Araba Duoninsulo","Arabia, Península Arábiga",,,,,,geografi,Arabisa (العربية “alearabia”),,,,
Arabili,derived,t,,FALSE,Arabian,,araba; arabe,"árabe, arábigo [-a, -ue]. alt: arábiga, arábigue.",,,,,,,Arabi + -li,,,,
Arabisa,derived,b,,FALSE,Arabic (language),,la araba (lingvo),(idioma) árabe,,,,,,basa,Arabi + -sa,,,,
Arabiyen,derived,b,,FALSE,Arab,,arabo,árabe (_persona_),,,,,,,Arabi + -yen,,,,
arcivo,root,b.oj,,TRUE,archive; archivize,,"arkivo, arĥivo; arkivi, arĥivi",archivo; archivar,,,,,,,"Englisa (archive), Espanisa (archivo), Fransesa (archives), Rusisa (архив “arhyív”), Doycisa (Archiv), Indonesisa (arsip), Pilipinasa (artsibo), Arabisa (أَرْشِيف “arxif”), Niponsa (アーカイブ “akaybu”), Turkisa (arşiv), Hangusa (아카이브 “akaybu”), Parsisa (آرشیو “arxiv”)",,,,
ardwazi,root,b,,TRUE,slate,,ardezo,pizarra (_roca_),,,,,,petra,"Fransesa (ardoise), Portugalsa (ardósia), Italisa (ardesia), Arabisa (أَرْدْوَاز “ardwaz”), Turkisa (arduvaz)",,,,
are,root,b,,TRUE,"minister, pastor (_male or female_) ",,"pastro, pastrino","pastore, sacerdote (_género neutro_)",,,,,,dini,"Am oko mare, pare. ",,,,
aresto,root,b.oj,,TRUE,"arrest; arrest, apprehend, take into custody",,aresto; aresti,"detención, arresto; detener, arrestar, tomar en custodia",,,,,,,"Englisa (arrest), Fransesa (arrestation), Espanisa (arresto), Rusisa (арест “aryést”, арестовать “aryestováty”), Pilipinasa (aresto)",,,,
arestoamiru,derived,b,,FALSE,(arrest) warrant,,arestordono,orden de arresto,,,,,,,aresto + amiru,,,,
arestokamer,derived,b,,FALSE,(prison) cell,,"arestejo, karcero",celda (_prisión_),,,,,,,aresto + -kamer,,,,
Argentina,proper word,su n,,TRUE,Argentina,,Argentino,Argentina,,,,,,dexa,Espanisa (Argentina),,,,
Argentinali,derived,t,,FALSE,"Argentine, Argentinian",,argentina; argentine,"argentino [-a, -e]. alt: argentina, argentine.",,,,,,,Argentina + -li,,,,
Argentinayen,derived,b,,FALSE,"Argentine, Argentinian",,argentinano,"argentino [-a, -e]. alt: argentina, argentine. (_persona_)",,,,,,,Argentina + -yen,,,,
argon,root,b,,TRUE,argon,,Argono,"argón, Ar",,,,,,kimikali monlari,"Englisa (argon), Espanisa (argón), Fransesa (argon), Rusisa (аргон “argón”), Doycisa (Argon), Indonesisa (argon), Pilipinasa (argon), Hindi (अर्गोन “argon”), Arabisa (أَرْجُون “arjun”, أَرْجُون “argun”, أَرْغُون “argun”), Niponsa (アルゴン “arugon”), Telugusa (ఆర్గాన్ “argan”), Turkisa (argon), Hangusa (아르곤 “arugon”), Vyetnamsa (agon), Parsisa (آرگون “ârgon”), Swahilisa (argoni)",,,,
arkitetur,root,b,,TRUE,architecture,,"arĥitekturo, arkitekturo",arquitectura,,,,,,profesi,"Englisa (architecture), Fransesa (architecture), Doycisa (Architektur), Rusisa (архитектура “arhyityektúra”), Espanisa (arquitectura), Indonesisa (arsitektur), Pilipinasa (arkitektura)",,,,
arkiteturli ,derived,t,,FALSE,architectural; architecturally,,"arkitektura, arĥitektura; arkitekture, arĥitekture","arquitectónico [-a, -que]. alt: arquitectónica, arquitectónique.",,,,,,,arkitetur + -li,,,,
arkiteturyen,derived,b,,FALSE,architect,,"arkitekto, arĥitekto, arkitekturisto, arĥitekturisto","arquitecto [-a, -e]. alt: arquitecta, arquitecte.",,,,,,,arkitetur + -yen,,,,
arko,root,b,,TRUE,"arc, arch, bow",,arko,arco,,,,,,figura,"Englisa (arc, arch), Espanisa (arco), Fransesa (arc), Rusisa (арка “árka”), Doycisa (Arkus), Pilipinasa (arko), Hindi (आर्क “ark”), Niponsa (アーク “āku”), Turkisa (ark)",,,,
armadilo,root,b,,FALSE,"armadillo, _Cingulata_",,"armadelo, dazipo, cingulato","armadillo, _Cingulata_",,,,,,hewan,"Englisa (armadillo), Espanisa (armadillo), Indonesisa (armadilo), Pilipinasa (armadilyo), Niponsa (アルマジロ “arumajiro”), Turkisa (armadillo), Hangusa (아르마딜로 “arumadillo”), Parsisa (آرمادیلو “ârmâdilo”)",,,,
armoni,root,b,,TRUE,harmony,,harmonio,(h)armonía,,,,,,,"Doycisa (Harmonie), Englisa (harmony), Espanisa (armonía), Fransesa (harmonie), Rusisa (гармония “garmónyiya”), Indonesisa (harmoni), Turkisa (armoni), Pilipinasa (armonya)",,,,
armonipul,derived,t,,FALSE,harmonious; harmoniously,,harmonia; harmonie,"(h)armonioso [-a, -e]. alt: armoniosa, harmoniosa, armoniose, harmoniose.; (h)armoniosamente, en (h)armonía",,,,,,,armoni + -pul,,,,
arpa,root,b,,TRUE,harp,,harpo,(h)arpa,,,,,,,"Englisa (harp), Espanisa (arpa), Fransesa (harpe), Rusisa (арфа “árfa”), Doycisa (Harfe), Indonesisa (harpa), Pilipinasa (alpa), Hindi (हार्प “harpa”), Niponsa (ハープ “hapu”), Telugusa (హార్ప్ “harp”), Turkisa (arp), Hangusa (하프 “hapu”), Vyetnamsa (đàn harp)",,,,
arpun,root,b.oj,,TRUE,harpoon; harpoon,,harpuno,arpón; arpon(e)ar,,,,,,tul,"Englisa (harpoon), Espanisa (arpón), Fransesa (harpon), Rusisa (гарпун “garpún”), Doycisa (Harpune), Indonesisa (harpun), Hindi (हापून “hapun”), Arabisa (حربون “harbun”), Niponsa (ハープーン “hapun”), Telugusa (హార్పూన్ “harpun”)",,,,
arseniko,root,b,,TRUE,arsenic,,arseno,"arsénico, As",,,,,,kimikali monlari,"Englisa (arsenic), Espanisa (arsénico), Fransesa (arsenic), Rusisa (арсеникум “arsyényikum”), Doycisa (Arsen), Indonesisa (arsen, arsenik, arsenikum), Hindi (आर्सेनिक “arsenik”), Arabisa (زِرْنِيخ “zirnik”), Telugusa (ఆర్సెనిక్ “arsenik”), Turkisa (arsenik), Vyetnamsa (asen), Parsisa (آرسنیک “ârsenik”, زرنیخ “zarnix”, زرنیک “zarnik”, زرنی “zarni”), Swahilisa (asenia), Pilipinasa (arseniko, arsenik)",,,,
arte,root,b,,TRUE,art,,arto,arte,,,,,,arte,"Englisa (art, artist), Fransesa (art, artiste), Doycisa (Artist), Rusisa (артист “artyíst”), Espanisa (arte), Niponsa (アート “āto”, アーティスト “ātisuto”), Indonesisa (artis), Pilipinasa (artista), Turkisa (artist)",,,,
arteatex,derived,b,,FALSE,fireworks,,"artfajraĵo, fajraĵo, piroteknikaĵo","fuego artificial, cohete",,,,,,,arte + atex,,,,
artedom,derived,b,,FALSE,(art) studio,,"(arta) studio, artejo","estudio (de arte), taller",,,,,,arte,arte + -dom,,,,
artefil,derived,t,,FALSE,"artistic (_tendency towards art_), artistically",,"artisma, artinklina artema; arteme","artístico [-a, -que]. alt: artística, artístique. (_tendiente al arte_)",,,,,,,arte + -fil,,,,
arteli,derived,t,,FALSE,"art, artistic (_relating to art_); artistically",,arta; arte,"artístico [-a, -que]. alt: artística, artístique. (_relacionado con el arte_); artísticamente",,,,,,,arte + -li,,,,
artexey,derived,b,,FALSE,work of art,"work of art, art, work","artaĵo, artverko",obra (de arte),,,,,,arte,arte + -xey,,,,
arteyen,derived,b,,FALSE,artist,,artisto,artista,,,,,,arte,arte + -yen,,,,
articoku,root,b,,TRUE,artichoke,,artiŝoko,"alcachofa, _Cynara cardunculus_ var. _scolymus_",,,,,,"sabzi, yamxey","Englisa (artichoke), Espanisa (alcachofa), Fransesa (artichaut), Rusisa (артишок “artyixók”), Doycisa (Artischocke “artixoke”), Indonesisa (articok), Pilipinasa (alkatsopas), Hindi (आटिचोक “aticok”), Niponsa (アーティチョーク “aticoku”), Telugusa (ఆర్టిచోక్ “articok”), Hangusa (아티초크 “aticokhu”), Vyetnamsa (atisô “atiso, atixo”), Parsisa (آرتیشو “artixo”)",,,,
artikel,root,b,,TRUE,article (_grammar_),,artikolo (_gramatiko_),artículo (_gramática_),,,,,,,"Doycisa (Artikel), Englisa (article), Espanisa (artículo), Fransesa (article), Rusisa (артикль “artyíkly”), Turkisa (artikel), Indonesisa (artikel)",,,,
Artiko,proper word,su n,,TRUE,Arctic (_region or ocean_),,"Arkta Oceano, Arkta Regiono",Ártico (_región u océano_),,,,,,,"Englisa (Arctic), Fransesa (Arctique), Doycisa (Arktis), Rusisa (Арктика “Árktyika”), Espanisa (Ártico), Hindi (आर्कटिक “aarkatik”), Telugusa (ఆర్కిటిక్ “ārkiṭik”), Arabisa (أَرْكِتِيك‎ “ʾarkitīk”), Swahilisa (Aktiki, Aktika), Turkisa (Arktik), Indonesisa (Arktik), Pilipinasa (Artiko, Arktiko)",,,,
artro,root,b,,TRUE,joint,,artiko,"articulación, coyuntura",,,,,,jismulogi,"Englisa (arthro-, arthritis), Espanisa (artro-, artritis), Fransesa (arthrite), Rusisa (артрит “artryít”), Doycisa (Arthritis), Turkisa (artrit), Lamaelinisa (ᾰ̓́ρθρον “arthron”)",,,,
artroitis,derived,b,,FALSE,arthritis,,artrito,artritis,,,,,,medis,artro + -itis,,,,
artroitisli,derived,t,,FALSE,arthritic,,artrita; artrite,"artrítico [-a, -que]. alt: artrítica, artrítique.",,,,,,,artro + -itis + -li,,,,
artropeda,derived,b,,FALSE,arthropod,,"artropodoj, artikpieduloj","artrópodo, _Arthropoda_",,,,,,hewan,artro + peda,,,,
asalu,root,b,,TRUE,honey,,mielo,miel,,,,,,yamxey,"Arabisa (عسل “ʿasal”), Swahilisa (asali), Parsisa (عسل “'asal”), Urdu (عسل “'asal”)",,,,
asan,root,t,,TRUE,easy; easily,,facila; facile,fácil,,,,katina,,,"Hindi (आसान, “asan”), Parsisa (آسان “asan”), Azerbayjansa (asan)",,,,
asanxey,derived,b,,FALSE,convenience,,"facilaĵo, oportunaĵo",conveniencia,,,,,,,asan + -xey,,,,
asanya,derived,b,,FALSE,ease,,facileco,facilidad,,,,,,,asan + -ya,,,,
asel,root,b.oro,movement (like xoru),TRUE,"origin, source; originate",,deveno; deveni,"origen; originar, originarse",,,,,,,"Arabisa (أصل “asl”), Indonesisa (asal), Parsisa (اصل “asl”), Swahilisa (asili)",,,,
aselli,derived,t,,FALSE,"original (_first, initial_), native; originally, natively",,"devena, denaska; devene, denaske","original, inicial",,,,,,,asel + -li,,,,
aselpul,derived,t,,FALSE,original; originally,,devena; devene,original; originalmente,,,,,,,asel + -pul,,,,
asfalto,root,b,,TRUE,asphalt,,asfalto,"asfalto, betún, chapopote",,,,,,materyal,"Doycisa (Asphalt), Englisa (asphalt), Espanisa (asfalto), Fransesa (asfalte), Rusisa (acфальт “asfályt”), Turkisa (asfalt), Parsisa (آسفالت “asfalt”), Indonesisa (aspal), Pilipinasa (aspalto), Niponsa (アスファルト “asufaruto”), Hangusa (아스팔트 “asupaltu”)",,,,
Asia,proper word,su n,,TRUE,Asia,,Azio,Asia,,,,,,"geografi, daygeo","Englisa (Asia), Fransesa (Asia), Doycisa (Asien), Rusisa (Азия “Ázyiya”), Espanisa (Asia), Arabisa (آسِيَا “ʾāsiyā”), Hindi (एशिया “eśiyā”), Telugusa (ఆసియా “āsiyā”), Turkisa (Asya), Swahilisa (Asia), Indonesisa (Asia), Pilipinasa (Asya), Hangusa (아시아 “asia”), Niponsa (アジア “ajia”)",,,,
Asiali,derived,t,,FALSE,Asian,,azia; azie,"asiático [-a, -que]. alt: asiática, asiátique.",,,,,,,Asia + -li,,,,
Asiayen,derived,b,,FALSE,Asian,,aziano,"asiático [-a, -que]. alt: asiática, asiátique. (_persona_)",,,,,,,Asia + -yen,,,,
asif,root,b.oj; il,b.oro?,TRUE,"regret; regret, be sorry (about); sorry",,bedaŭro; bedaŭri; mi bedaŭras,"lamento; lamentar; lo siento, disculpe",,,,,,intrelogalexi,"Arabisa (آسف “asif”), Parsisa (متاسف “mota'assef”), Turkisa (esef)",,,,
asifpul,derived,t,,FALSE,regretful; regretfully,,bedaŭra; bedaŭre,"arrepentido [-a, -e]. alt: arrepentida, arrepentide.",,,,,,,asif + -pul,,,,
asifpulya,derived,b,,FALSE,regretfulness,,bedaŭreco,arrepentimiento,,,,,,,asif + -pul + -ya,,,,
askeri,root,b,,TRUE,"army, infantry, troop",,"armeo, infanterio, soldataro","ejército, milicia, infantería, tropa",,,,,,,"Arabisa (عسكري “askariy”), Indonesisa (laskar, askar), Turkisa (asker), Swahilisa (askari), Hindi (अस्कर “askar”)",,,,
askerilari,derived,b,,FALSE,infantry,,infanterio,infantería,,,,,,,askeri + -lari,,,,
askeritim,derived,b,,FALSE,army,,armeo,ejército,,,,,,,askeri + -tim,,,,
askeriyen,derived,b,,FALSE,soldier,,soldato,"soldado, militar, cachuchudo [-a, -e]. alt: cachuchuda, cachuchude.",,,,,,,askeri + -yen,,,,
asman,root,b,,TRUE,sky,,ĉielo,cielo (_atmósfera sobre un punto de la superficie_),,,,,,natura,"Hindi (आसमान “asman”), Parsisa (آسمان “asman”)",,,,
asmankolordo,derived,t,,FALSE,sky blue,"sky blue, blue",ĉielblua; ĉielblue,"(azul) celeste, (azul) cielo, cerúleo [-a, -e]. alt: cerúlea. cerúlee.",,,,,,kolor,asman + kolor + -do,,,,
asosya,root,b.oro,?,TRUE,association; associate,,asocio; asocii,"asociación; asociar, asociarse",,,,,,,"Englisa (association), Fransesa (association), Doycisa (Assoziation), Rusisa (ассоциация “assotsiátsiya”), Espanisa (asociación), Indonesisa (asosiasi)",,,,
asosyado ,derived,t,,FALSE,associated,,asociita; asociite,"asociado [-a, -e]. alt: asociada, asociade.",,,,,,,asosya + -do,,,,
asosyatim,derived,b,,FALSE,association,,asocio,asociación,,,,,,,asosya + -tim,,,,
Asperger,proper word,su n,,TRUE,Asperger (name),,Asperger (nomo),Asperger (_nombre_),,,,,,,Doycisa (Asperger),,,,
aspini,root,b,,TRUE,pin,,pinglo,alfiler,,,,,,tul,"Englisa (pin), Espanisa (alfiler), Fransesa (épingle), Pilipinasa (aspili), Hindi (पिन “pin”), Niponsa (ピン “pin”), Turkisa (pim), Hangusa (핀 “pin”), Swahilisa (pini)",,,,
astama,root,b,,TRUE,asthma,,astmo,asma,,,,,,medis,"Doycisa (Asthma), Englisa (asthma), Espanisa (asma), Fransesa (asthme), Rusisa (астма “ástma”), Indonesisa (asma), Turkisa (astım), Telugusa (ఆస్థమా “astama”), Parsisa (آسم “âsm”)",,,,
astatin,root,b,,TRUE,astatine,,astato,"ástato, astato, At",,,,,,kimikali monlari,"Englisa (astatine), Espanisa (astato), Fransesa (astate “astat”), Rusisa (астат “astát”, астатин “astatyín”), Doycisa (Astat, Astatin), Indonesisa (astatin), Arabisa (أَسْتَاتِين “astatin”), Niponsa (アスタチン “asutacin”), Telugusa (ఆస్టాటీన్ “astatin”), Turkisa (astat, astatin), Niponsa (아스타틴 “asutatin”), Vyetnamsa (astatin), Parsisa (استاتین “astâtin”), Swahilisa (astatini), Pilipinasa (astato)",,,,
astrato,root,t,,TRUE,abstract; abstractly,,abstrakta; abstrakte,"abstracto [-a, -e]. alt: abstracta, abstracte.; abstractamente",,abstrakt,,konkreto,,,"Englisa (abstract), Fransesa (abstrait), Doycisa (abstrakt), Rusisa (абстрактный “abstráktniy”), Espanisa (abstracto), Indonesisa (abstrak)",,,,
asuransu,root,b,,TRUE,insurance,,asekuro,seguro (_contrato_),,,,,,,"Englisa (insurance), Fransesa (assurance), Indonesisa (asuransi), Niponsa (インシュアランス “inxwaransu”), Hindi (इन्श्योरेंस “inśyorens”)",,,,
ata,root,b.nenoj,,TRUE,coming; come,,veno; veni,venida; venir,,,,idi,,,"Arabisa (أتى “ataa”), Hindi (आना “ānā”), Indonesisa (datang), Parsisa (آمدن “âmadan”), Lyetuvasa (ateiti)",,,,
