Word,Category,WordClass,OfficialWord,TranslationEng,SearchTermsEng,TranslationEpo,TranslationSpa,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,TranslationFra,TranslationRus,TranslationZho
cuyoato fal,derived,jm,FALSE,starring,,"ĉefrolita de, ĉefrolante",protagonizado por,,,,,,"cuyo + ato, fal",,,
cuyoatoyen,derived,n,FALSE,"star (_actor_), protagonist",,"ĉefaktoro, 
ĉefrolulo, 
protagonisto","protagonista, estrella",,,,,,cuyo + ato + -yen,,,
cuyodolo,derived,n,FALSE,main street,,ĉefstrato,calle principal,,,,,,"cuyo, dolo",,,
cuyoxaher,derived,n,FALSE,capital (_city_),,ĉefurbo,(ciudad) capital,,,,,,cuyo + xaher,,,
cuyoyam,derived,n,FALSE,"main course, main dish",,ĉefmanĝo,platillo principal,,,,,,"cuyo, yam",,,
cuyoyawxe,derived,n,FALSE,master key,,ĉefa ŝlosilo,llave maestra,,,,,,"cuyo, yawxe",,,
cwenton,root,n,TRUE,tradition,,tradicio,tradición,,,,,,"Putunhwa (传统 “chuántǒng”), Hangusa (전통 “jeontong”), Vyetnamsa (truyền thống), Niponsa (伝統 “dentō”)",,,
cyan,root,t,TRUE,cyan,,bluverda; bluverde,cian,,,,,kolor,"Englisa (cyan), Fransesa (cyan), Doycisa (Zyan), Rusisa, Espanisa (cian), Hindisa (क्यान “kyan”), Niponsa (シアン “xian”), Hangusa (시안 “xian”), Parsisa (سیان‎ “siyân”)",,,
da,root,pn,TRUE,"(_relative pronoun_) he, she, it, they",,"(_relativa pronomo_) li, ŝi, ri, ĝi, ili","(_pronombre relativo_) él, ella, ellos",,,,,,"Doycisa (das), Englisa (that), Putunhwa (它 “tā”)",,,
dabihu,root,n/f.oro.a,TRUE,"sacrifice, offering; sacrifice",,ofero; oferi,"sacrificio, ofrenda; sacrificar",,,,,,"Arabisa (ذبيحة “dhabiha”), Swahilisa (dhabihu), Parsisa (ذبح “zebh”)",,,
dabihuli,derived,t,FALSE,sacrificial,,ofera; ofere,sacrificial,,,,,,dabihu + -li,,,
dadal,root,n/f.oro.a,TRUE,"achievement, accomplishment; reach, achieve, accomplish",,atingo; atingi,logro; lograr,,,,,,"Putunhwa  (达到 “dadao”), Hangusa (닿다 “dahda”, 도달 “dodal”)",,,
dadalible,derived,t,FALSE,"attainable, achievable, accessible",,atingebla; atingeble,"alcanzable, lograble, accesible",,,,,,dadal + -ible,,,
dadu,root,n,TRUE,"die, dice",,"ĵetpluredro, ludkubo",dado,,,,,,"Espanisa (dado), Italisa (dado), Pilipinasa (dado), Portugalsa (dado), Indonesisa (dadu), Swahilisa (dadu)",,,
dahabu,root,n,TRUE,gold,,oro,"oro, Au",,,,,kimikali monlari,"Arabisa (ذهب “dahab”), Swahilisa (dhahabu), Parsisa (ذهب “zahab”)",,,
dahabukolordo,derived,t,FALSE,"gold, golden (_color_)",,orkolora; orkolore,dorado,,,,,kolor,dahabu + -kolordo,,,
dahabuli,derived,t,FALSE,"golden, (of) gold",,ora; ore,de oro,,,,,,dahabu + -li,,,
dahun,root,n,TRUE,"leaf, sheet",,folio,hoja,,,,,,"Indonesisa (daun), Pilipinasa (dahon)",,,
daif,root,t,TRUE,"weak, weakly",,"febla, malforta; feble, malforte",débil,,,bala,,,"Arabisa (ضعيف “daif”), Swahilisa (dhaifu), Indonesisa (daif), Turkisa (zayıf), Parsisa (ضعیف “zaif”)",,,
daifxey,derived,n,FALSE,(a) weakness,,"febleco, malforteco",debilidad,,,balaxey,,,daif + -xey,,,
daifya,derived,n,FALSE,weakness,,febleco; malforteco,debilidad,,,,,,daif + -ya,,,
daju,root,t,TRUE,"approximate, approximately, around, about, rough, roughly",,"aproksima, proksimuma; aproksime, proksimume","aproximado; aproximadamente, alrededor de, más o menos",,,preciso,,,"Putunhwa (大致 “daji”), Hangusa (대충 “decung”)",,,
dajuya,derived,n/f.oj,FALSE,"approximation, estimate; approximate, estimate",,aproksimo; aproksimi,"aproximación, estimado; aproximar, estimar",,,,,,daju + -ya,,,
dalu,root,n/f.oro.b,TRUE,shield,,"ŝildo, ŝildado; ŝildi","escudo; escudar, escudarse",,,,,,"Hindisa (ढाल “ḍhāl”), Telugusa (డాలు “ḍālu”)",,,
dalutul,derived,n,FALSE,shield,,ŝildo,escudo,,,,,,dalu + -tul,,,
dama,root,n,TRUE,"checkers, draughts",,"damludo, damoj",damas (_juego_),,,,,,"Espanisa (damas), Fransesa (dames), Doycisa (Dame), Indonesisa (dam), Pilipinasa (dama), Turkisa, Swahilisa, Arabisa (دَامَا‎, دَامَة‎, ضَامَة “dama”), Parsisa (دام “dam”)",,,
dambi,root,n/f.nenoj,TRUE,sin,,peko; peki,pecado; pecar,,,,,,"Arabisa (ذَنْب “danb”), Swahilisa (dhambi)",,,
dambipul,derived,t,FALSE,sinful,,peka; peke,pecaminoso,,,,,,dambi + -pul,,,
dambo,root,t,TRUE,"thin, slim, slender, lean",,maldika; maldike,delgado,,,mote,,,Putunhwa (单薄 “dānbó”),,,
damboyen,derived,n,FALSE,thin person,,maldikulo,persona delgada,,,,,,dambo + -yen,,,
damu,root,n/f.oro.a,TRUE,blood,,sango,sangre,,,,,,"Arabisa (دم “dam”), Swahilisa (damu), Telugusa (రక్తము “raktamu”), Ivrisa (דָּם “dam”)",,,
damuli burtyan,derived,n/f.oj,FALSE,bloodstain,,sangomakulo; sangomakuli,mancha de sangre,,,,,,"damu + -li, burtyan",,,
danglan,root,n,TRUE,(praying) mantis,,manto,mantis (religiosa),,,,,,"Putunhwa (螳螂 “tanglang”), Hangusa (당랑 “dangnang”)",,,
Dani,proper noun,n,TRUE,Denmark,,"Danio, Danlando, Danujo",Dinamarca,,,,,dexa,Danisa (Danmark),,,
Danisa,derived,n,FALSE,Danish (language),,la dana (lingvo),danés (_idioma_),,,,,basa,Dani + -sa,,,
Daniyen,derived,n,FALSE,Dane,,dano,danés (_persona_),,,,,,Dani + -yen,,,
danse,root,n/f.oro.a,TRUE,dance,,danco; danci,baile; bailar,,,,,,"Englisa (dance), Fransesa (danse), Doycisa (Tanz, tanzen), Rusisa (танцевать “tantsevat”), Espanisa (danza), Turkisa (dans), Indonesisa (dansa), Niponsa (ダンス “dansu”), Hangusa (댄스 “densu”), Parsisa (دانس “dâns”), Swahilisa (dansi, densi)",,,
dansedom,derived,n,FALSE,"dance studio, dance club",,dancejo,club de baile,,,,,,danse + -dom,,,
dansegrafi,derived,n/f.oro.a,FALSE,choreography,,"koreografio, ĥoreografio, koregrafio",coreografía,,,,,,danse + -grafi,,,
dansekamer,derived,n,FALSE,"ballroom, dance room",,dancejo,salón de baile,,,,,,danse + -kamer,,,
danseyen,derived,n,FALSE,dancer,,dancanto; dancisto,bailarín,,,,,,danse + -yen,,,
danyam,root,n,TRUE,"grain, cereal, corn",,"greno, cerealo","grano, cereal",,,,,,"Hindisa (धान्य ""danya""), Telugusa (ధాన్యము ""danyamu""), Tamilsa (தனியா ""taniya""), Keralasa (ധാന്യം ""danyam"")",,,
dao,root,n/f.oro.a,TRUE,"path, way; travel ",,"vojo, irejo; vojaĝi, laŭiri, veturi","camino, senda, vía; viajar",,,,,,Putunhwa (道 “dào”),,,
daoismo,derived,n,FALSE,Taoism,,"taoismo, daŭismo, taŭismo",taoísmo,,,,,,dao + -ismo,,,
daoista,derived,n,FALSE,Taoist,,"taoisto, daŭisto, taŭisto",taoísta,,,,,,dao + -ista,,,
daoya,derived,n,FALSE,trip,,"veturo, vojaĝo",viaje,,,,,,dao + -ya,,,
daoyen,derived,n,FALSE,traveler ,,"veturanto, vojaĝanto",viajero,,,,,,dao + -yen,,,
daraje,root,n,TRUE,"degree, grade, level, extent",,"grado, nivelo","grado, nivel",,,,,,"Arabisa (درجة “daraja”), Parsisa (درجه “daraje”), Indonesisa (derajat), Turkisa (derece)",,,
darajeli,derived,t,FALSE,"gradual, gradually",,grada; grade,gradual; gradualmente,,,,,,daraje + -li,,,
darbe,root,n/f.oro.a,TRUE,"strike, blow; hit, strike, beat",,"bato, frapo; bati, frapi",golpe; golpear,,,,,,"Arabisa (ضربة “darba”), Turkisa (darbe), Parsisa (ضربه “zarbe”)",,,
darcini,root,n,TRUE,cinnamon,,cinamo,"canela, _Cinnamomum_",,,,,yamxey,"Hindisa (दारचीनी “darcini”), Arabisa (دَارْصِينِيّ “darsini”), Telugusa (దాల్చిన “dalcina”), Turkisa (tarçın), Parsisa (دارچین “darcin”), Swahilisa (dalasini)",,,
dari,root,n,TRUE,digit (_finger or toe_),"digit, finger, toe",fingro (_mana aŭ pieda_),dedo (_de la mano o del pie_),,,,,jismulogi,"Indonesisa (jari), Pilipinasa (daliri)",,,
darmestatyum,root,n,TRUE,darmstadtium,,darmŝtatio,"darmstatio, Ds",,,,,kimikali monlari,"Englisa (darmstadtium), Putunhwa (鐽 “da”), Hindisa (डार्मस्टाडियम “darmstadiyam”), Espanisa (darmstatio), Arabisa (دَارْمْشْتَادْتِيُوم “darmxtadtiyum”), Fransesa (darmstadtium), Rusisa (дармштадтий “darmxtadti”), Indonesisa (darmstadtium), Doycisa (Darmstadtium), Niponsa (ダームスタチウム “damusutaciumu”), Telugusa (డామ్‌స్టాటియం “damstatiyam”), Turkisa (darmstadtiyum), Hangusa (다름슈타튬 “darumxutatym”), Vyetnamsa (darmstadti), Parsisa (دارمشتادیم “darmextadiyom”), Swahilisa (darmstadti), Pilipinasa (darmstadtyo)",,,
darsu,root,n,TRUE,"lesson, class",,"leciono, klaso","lección, clase",,,,,,"Arabisa (درس “dars”), Parsisa (درس “dars”), Turkisa (ders)",,,
darsukamer,derived,n,FALSE,classroom,,"klasejo, klasĉambro","aula, salón (de clases)",,,,,kamer,darsu + -kamer,,,
darsulari,derived,n,FALSE,"course, class",,"kurso, klaso",curso,,,,,,darsu + -lari,,,
data,root,n,TRUE,"datum, data",,"datumo(j), dateno(j)",dato,,,,,,"Doycisa (Daten), Englisa (data), Espanisa (datos), Hindisa (डेटा “ḍeṭā”, डाटा “ḍāṭā”), Swahilisa (data), Indonesisa (data), Pilipinasa (datos), Niponsa (データ “dēta”), Hangusa (데이터 “deito”), Turkisa (data), Vyetnamsa (đa ta), Parsisa (داده‌ها “dâde-hâ”)",,,
datakaxa,derived,n,FALSE,database,,datumbazo,base de datos,,,,,,data + kaxa,,,
datasayfa,derived,n,FALSE,spreadsheet,,kalkultabelo,hoja de cálculo,,,,,,data + sayfa,,,
dava,root,n,TRUE,drug,,"medikamento, kuracilo, drogo",medicamento,,,,,,"Arabisa (دواء “dawa”), Hindisa (दवा “dava”), Swahilisa (dawa)",,,
davadukan,derived,n,FALSE,"pharmacy, drugstore, chemist",,apoteko,"botica, farmacia, droguería",,,,,,dava + -dukan,,,
Dawn,proper noun,n,TRUE,Down (name),,"Down, Daŭn (nomo)",Down (_nombre_),,,,,,Englisa (Down),,,
day,root,t,TRUE,"big, large, great, major, greatly",,"granda, ega; grande, ege",grande,,,lil,,,"Putunhwa (大 “dà”), Niponsa (大 “dai-”)",,,
day-,affix,lfik,TRUE,"big, large, much, loud",,"grand-, -eg-","grande, mucho, fuerte",,,lil-,,,Am oko _day_.,,,
dayajabu,derived,t,FALSE,bizarre,,"strangega, bizara; strangege, bizare",extraño,,,,,,day- + ajabu,,,
dayantru,derived,n,FALSE,"large intestine, colon",,"dikintesto, kojlo",intestino grueso,,,,,,day- + antru,,,
dayatex,derived,n,FALSE,blaze,,fajrego,llamarada,,,,,,day- + atex,,,
dayatre,derived,n,FALSE,grandparent,,"avo, avino, geavinoj",abuelo,,,,,,day- + atre,,,
daybahari,derived,n,FALSE,ocean,,oceano,océano,,,,,,day- + bahari,,,
daybala,derived,t,FALSE,mighty,,fortega; fortege,poderoso,,,daydaif,,,day- + bala,,,
daybardipul,derived,t,FALSE,freezing,,"malvarmega, frosta; malvarmege, froste",muy frío,,,,,,day- + bardi + -pul,,,
daybarix,derived,n/f.oro.a,FALSE,"downpour; pour, be pouring",,pluvego; pluvegi,aguacero; llover a cántaros,,,,,,day- + barix,,,
daybawlupul,derived,t,FALSE,"brutal, brutally",,brutala; brutale,brutal; brutalmente,,,,,,day- + bawlu + -pul,,,
daybaytu,derived,n,FALSE,mansion,,domego,mansión,,,,,,day- + baytu,,,
daybon,derived,t,FALSE,"excellent, great, awesome, fantastic",,bonega; bonege,"excelente, buenísimo",,,,,,day- + bon,,,
Daybriti,derived,n,FALSE,Great Britain,,Granda Britio,Gran Bretaña,,,,,,day- + Briti,,,
daybur,derived,t,FALSE,"awful, terrible, evil",,malbonega; malbonege,terrible,,,,,,day- + bur,,,
daycolo,derived,t,FALSE,"hideous, hideously",,malbelega; malbelege,espantoso,,,,,,day- + colo,,,
dayday,derived,t,FALSE,"enormous, enormously, gigantic, gigantically, huge, hugely",,grandega; grandege,grandísimo,,,,,,day- + day,,,
daydaymo,derived,m,FALSE,extremely,,treege,extremadamente,,,,,,day- + day- + -mo,,,
daydenkwanti,derived,t,FALSE,so much,,tiom (da),tanto,,,,,,day- + den + kwanti,,,
daydenmo,derived,m,FALSE,"so, such, how",,tiom,"qué, vaya, tan",,,,,,day- + den + -mo,,,
daydenmo multi,derived,t jm,FALSE,"so many, so much",,tiom multe,"tanto, tantos",,,,,,"day- + den + -mo, multi",,,
daydennumer,derived,t,FALSE,so many,,tiom (da),tantos,,,,,,day- + den + numer,,,
daydolo,derived,n,FALSE,"road, highway, freeway ",,"ŝoseo, aŭtovojo, vojo","camino, carretera",,,,,,day- + dolo,,,
daygeo,derived,n,FALSE,continent,,kontinento,continente,,,,,,day- + geo,,,
dayhazuni,derived,t,FALSE,inconsolable,,"malfeliĉega, malĝojega, malgajega; malfeliĉege",inconsolable,,,,,,day- + hazuni,,,
dayhox,derived,t,FALSE,"ecstatic, blissful",,"feliĉega, ekstaza, beata; feliĉege, ekstaze, beate",extático,,,,,,day- + hox,,,
dayhoxya,derived,n,FALSE,"ecstacy, bliss",,"feliĉego, ekstazo, beateco",éxtasis,,,,,,day- + hox + -ya,,,
dayible,derived,t,FALSE,"probable, probably, likely",,"probabla, verŝajna; probable, verŝajne",probable; probablemente,,,,,,day- + -ible,,,
dayje,derived,n,FALSE,size,,"grando, grandeco",tamaño,,,,,,day + -je,,,
daykabaca,derived,n,FALSE,pumpkin,,granda kukurbo,"calabaza, _Cucurbita maxima_",,,,,,day- + kabaca,,,
daykano,derived,n,FALSE,trunk (_tree_),,"trunko, arbotrunko",tronco,,,,,,day- + kano,,,
daykarar,derived,n/f.oro.a,FALSE,"determine, be determined to",,decidemo; decidemi,determinación (_decisión_); determinar,,,,,,day- + karar,,,
daykargux,derived,n,FALSE,hare,,leporo,"liebre, _Lepus_",,,,,hewan,day- + kargux,,,
daykotor,derived,t,FALSE,filthy,,"malpurega, kota; malpurege, kote",mugriento,,,,,,day- + kotor,,,
daykotorya,derived,n,FALSE,filth,,"malpuregeco, koto","suciedad, mugre",,,,,,day- + kotor + -ya,,,
daykowa,derived,n,FALSE,might,,"potencego, fortego, povego",poder,,,,,,day- + kowa,,,
daykwanti,derived,n,FALSE,abundance,,"abundo, abundeco",abundancia,,,,,,day- + kwanti,,,
daykwantipul,derived,t,FALSE,"abundant, plentiful",,abunda; abunde,abundante,,,,,,day- + kwanti + -pul,,,
daylama,derived,t,FALSE,ancient,,antikva; antikve,antiguo,,,,,,day- + lama,,,
daylil,derived,t,FALSE,tiny,,"eta, malgrandega; ete, malgrandege",diminuto,,,,,,day- + lil,,,
dayloga,derived,n/f.oro.a,FALSE,"exclaim, cry (out)",,dirego; diregi,exclamación; exclamar,,,,,,day- + loga,,,
daylubi,derived,n/f.oj,FALSE,adoration; adore,,amego; amegi,adoración; adorar,,,,,,day- + lubi,,,
daylubilaye,derived,t,FALSE,adorable,,amegenda; amegende,adorable,,,,,,day- + lubi + -laye,,,
daymama,derived,n,FALSE,"grandma, nanna, nana",,avinjo,abuelita,,,,,,day- + mama,,,
daymatre,derived,n,FALSE,grandmother,,avino,abuela,,,,,,day- + matre,,,
daymeli,derived,t,FALSE,gorgeous,,belega; belege,precioso,,,,,,day- + meli,,,
daymo,derived,m,FALSE,"greatly, very, really, highly",,tre,"mucho, muy",,,,,,day- + -mo,,,
daymuhim,derived,t,FALSE,"essential, crucial, critical, imperative, gravely important, greatly important, (of) grave importance, (of) great importance",,gravega; gravege,"esencial, crucial, crítico, decisivo, de gran importancia",,,,,,day- + muhim,,,
daynakun,derived,n/f.oj,FALSE,claw,,ungego; ungograti,garra,,,,,,day- + nakun,,,
daynakunkal,derived,t,FALSE,"clawless, achelate",,senkrifa; senkrife,sin garras,,,,,,daynakun + -kal,,,
dayneo,derived,t,FALSE,brand new,,novega; novege,nuevecito,,,,,,day- + neo,,,
daypala,derived,n/f.oro.a,FALSE,"yell, scream, shout",,krio; krii,grito; gritar,,,,,,day- + pala,,,
daypamtul,derived,n,FALSE,cannon,,"kanono, pafilego",cañón,,,,,,day- + pam + -tul,,,
daypanda,derived,n,FALSE,"panda, giant panda, panda bear, _Ailuropoda_",,"pando, granda pando","panda, panda gigante, _Ailuropoda_",,panda,,,,day- + panda,,,
daypapa,derived,n,FALSE,"grandpa, granddad, gramps",,avĉjo,abuelito,,,,,,day- + papa,,,
daypatre,derived,n,FALSE,grandfather,,avo,abuelo,,,,,,day- + patre,,,
daypawbu,derived,n/f.nenoj,FALSE,sprint,,kurego; kuregi,correr a toda velocidad,,,,,,day- + pawbu,,,
daypeti,derived,n/f.oro.a,FALSE,beg,,"almozpeto, almozado; almozpeti, almozi",rogar,,,,,,day- + peti,,,
daypetra,derived,n,FALSE,boulder,,"ŝtonego, rokego","roca, peña, pedrusco, peñasco",,,,,,day- + petra,,,
dayra,root,n,TRUE,circle,,cirklo,círculo,,,,,,"Arabisa (دائرة “dayira”), Parsisa (دایره “dayere”), Swahilisa (duara), Turkisa (daire)",,,
dayrapul,derived,t,FALSE,"circular, round",,cirkla; cirkle,"circular, redondo",,,,,,dayra + -pul,,,
daysoksu,derived,n,FALSE,stocking,,ŝtrumpo(j),"media, calceta","Strumpf, Strümpfe",,,,,day- + soksu,,,
daysoti,derived,n,FALSE,"noise, loud sound, bang",,sonego,ruido sonoro,,,,,,day- + soti,,,
daytermopul,derived,t,FALSE,"hot, scorching",,varmega; varmege,"caliente, abrasador",,,,,,day- + termo + -pul,,,
dayvento,derived,n/f.nenoj,FALSE,gust,,ventego; ventegi,ráfaga,,,,,,day- + vento,,,
daywatumon,derived,n,FALSE,"era, epoch",,"epoĥo, epoko, erao","época, era",,,,,,day- + watu + -mon,,,
dayxaher,derived,n,FALSE,metropolis,,"urbego, metropolo",metrópoli,,,,,,day- + xaher,,,
dayxaherli,derived,t,FALSE,metropolitan,,urbega; urbege,metropolitano,,,,,,day- + xaher + -li,,,
dayxerafu,derived,n,FALSE,glory,,"gloro, honorego",gloria; glorificar,,,,,,day- + xerafu,,,
dayya,derived,n,FALSE,"bigness, largeness, greatness",,"grandeco, grando",grandeza,,,,,,day + -ya,,,
de,root,p,TRUE,"of, belonging (to), (_equivalent to_) -'s (_genitive case_)",,"de, apartenante (al)",de (_perteneciente a_),,,,,,"Fransesa (de), Espanisa (de), Putunhwa (的 “de”)",,,
debate,root,n/f.oro.a,TRUE,debate; debate,,debato; debati,debate; debatir,,,,,,"Englisa (debate), Fransesa (débat), Doycisa (Debatte), Rusisa (дебаты “debati”), Espanisa (debate), Indonesisa (debate), Niponsa (ディベート “dibeto”)",,,
debatemon,derived,n/f.oj,FALSE,"argument, point; argue",,argumento; argumenti,"argumento, punto; argumentar",,,,,,debate + -mon,,,
deci,root,num,TRUE,"1 × 10^-1, one tenth of",,dekono,"deci-, 1 × 10^-1, décima parte de, d",,,,,,"Englisa (deci-), Fransesa (décimètre), Doycisa (Dezimeter), Rusisa (дециметр “decimetr”), Espanisa (decimetro), Arabisa, Hindisa (डेसिमीटर “desimitar”), Telugusa (డెసీమీటరు “desimitaru”), Parsisa (دسی “desi-”), Turkisa (desimetre), Indonesisa (desimeter), Pilipinasa (desimetro), Swahilisa (desimita), Vyetnamsa (đêximét, đềximét), Niponsa (デシメートル “deximetoru”), Hangusa (데시미터 “desimito”)",,,
decibelu,derived,n,FALSE,"decibel, dB",,decibelo,"decibel, decibelio, dB",Dezibel,,,,,deci + bel,décibel,децибел,分貝
decimetro,derived,n,FALSE,"decimeter, decimetre",,decimetro,"decímetro, dm",,,,,,deci + metro,,,
deha,root,n,TRUE,village,,vilaĝo,"aldea, pueblo",,,,,,"Rusisa (деревня “derevnja”), Espanisa (aldea), Indonesisa (desa), Arabisa (ضيعة “ḍayʿa”), Parsisa (ده “deh”)",,,
deklara,root,n/f.oj,TRUE,"declaration, statement; declare, state, claim",,"deklaro, aserto; deklari, aserti",declaración; declarar,,,,,,"Englisa (declaration), Fransesa (déclaration), Doycisa (Deklaration), Rusisa (декларация “deklaratsiya”), Espanisa (declaración), Turkisa (deklarasyon), Pilipinasa (deklarasyon)",,,
deklaradoku,derived,n,FALSE,"declaration (_official document_), manifesto",,"deklaracio (_oficiala dokumento_), manifesto","declaración (_documento oficial_), manifiesto",,,,,,deklara + -doku,,,
dekora,root,n/f.oro.a,TRUE,"decoration, ornament; decorate",,"dekoracio, dekoro, ornamo; dekoracii, dekori, ornami","decoración, adorno; decorar, adornar",,,,,,"Englisa (decoration), Fransesa (décoration), Doycesa (Dekoration), Espanisa (decoración), Niponsa (デコレーション “dekorēshon”), Turkisa (dekorasyon), Indonesisa (dekorasi), Pilipinasa (dekorasyon)",,,
deleza,root,n/f.oro.b,TRUE,"slide, glide, slip",,glito; gliti,"deslizamiento; deslizar, deslizarse, resbalarse",,,,,,"Espanisa (deslizar), Swahilisa (-teleza)",,,
deli,derived,t,FALSE,belonging ,,apartena; apartene,perteneciente,,,,,,de + -li,,,
deliryum,root,n,TRUE,delirium,,deliro,delirio,,,,,,"Englisa (delirium), Espanisa (delírium), Rusisa (делирий ""deliriy""), Doycisa (Delirium, Delir), Portugalsa (delirium), Italisa (delirium), Indonesisa (delirium), Pilipinasa (deliryo), Turkisa (deliriyum)",,,
deliver,root,n/f.oro.a,TRUE,delivery; deliver,,livero; liveri,"entrega, _delivery_; entregar",,,,,,"Englisa (deliver), Espanisa (delivery), Pilipinasa (mag-deliber), Niponsa (デリバリー ""deribari""), Hangusa (dillibori), Fransesa (livrer), Doycisa (liefern)",,,
delusi,root,n/f.oro.b,TRUE,delusion,,"deluzio, (psikopatologia) miskredo, deliraĵo, sintrompa iluzio, falsa ideo",delusión,,,,,,"Englisa (delusion), Portugalsa (delusão), Indonesisa (delusi), Turkisa (delüzyon)",,,
demo,root,n,TRUE,"(the) public, (a) people, peoples, population",,"popolo, populacio",público,,,,,,"Englisa (democracy), Fransesa (démocratie), Doycisa (Demokratie), Rusisa (демократия “demokratiya”), Espanisa (democracia), Arabisa (دِيمُقْرَاطِيَّة “dīmuqrāṭiyya”), Parsisa (دموکراسی “demokrâsi”), Turkisa (demokrasi), Swahilisa (demokrasia), Indonesisa (demokrasi), Pilipinasa (demokrasya)",,,
demoje,derived,n,FALSE,population (size),,loĝantaro (amplekso),(tamaño de) población,,,,,,demo + -je,,,
demokrasi,derived,n,FALSE,democracy,,demokratio,democracia,,,,,politi,demo + -krasi,,,
demokrasili,derived,t,FALSE,democratic,,"demokratia, demokrata; demokratie, demokrate",democrático,,,,,,demo + -krasi + -li,,,
demoli,derived,t,FALSE,"public, publicly",,publika; publike,público,,,,,,demo + -li,,,
demoni,root,n,TRUE,demon,,demono,demonio,,,,,dini,"Englisa (demon, demonic), Espanisa (demonio), Fransesa (démon, démoniaque), Rusisa (демон “demon”, демонический “demoniceski”), Doycisa (Dämon, dämonisch), Indonesisa (demon), Turkisa, Pilipinasa (demonyo), Niponsa (デーモン “demon”), Hangusa (데몬 “demon”)",,,
den,root,d,TRUE,"that, those, the [see [Correlatives](https://xwexi.globasa.net/eng/gramati/tabellexi)]",,"tiu, ti- [korelativa]","ese, aquel, el",,,,,,Doycisa (den),,,
denete,derived,pn,FALSE,those ones ,,tiuj,esos,,,,,,den + ete,,,
denkwanti ,derived,d,FALSE,"that amount of, that quantity of, that much of","that amount of, that amount, that quantity of, that quantity, that much of, that much",tiom,esa cantidad de,,,,,,den + kwanti,,,
denloka,derived,m,FALSE,there,,tie,allí,,,,,,den + loka,,,
denloka hu,phrase,m,FALSE,"_subordinate clause:_ where, wherever",,"(tie,) kie",donde,,,,,,"den + loka, hu",,,
denlokali,derived,t,FALSE,"local, locally",,"loka, tiea; loke, tiee",de allí,,,,,,den- + loka + -li,,,
denmaner,derived,m,FALSE,"like that, like so, by that manner, in that manner",,tiel,"así, de esa manera",,,,,,den + maner,,,
denmaner hu,phrase,l,FALSE,"like, in the way that",,"(tiel,) kiel","como, de la manera en que",,,,,,"den + maner, hu",,,
denmo,derived,m,FALSE,"as, to that degree, that",,tiom,a ese grado,,,,,,den + -mo,,,
denmo multi,phrase,t,FALSE,"so many, so much",,tiom multe,"tanto, tantos",,,,,,"den + -mo, multi",,,
denmo... kom...,phrase,m,FALSE,as... as...,as,tiom... kiom...,tan ... como ...,,,,,,"den + -mo, kom",,,
dennumer,derived,d,FALSE,"that number of, that many ","that number of, that number, that many",tiu nombro,ese número de,,,,,,den + numer,,,
denoto,derived,pn,FALSE,"those (things), those ones",,tioj,esas cosas,,,,,,den + oto,,,
denpul,derived,t,FALSE,"like that, like so, (in) that way, thus, such",,tia,"tal, así",,,,,,den + -pul,,,
denpul kom,phrase,l,FALSE,"as, such as, like",,"(tia,) kia; kiel",como,,,,,,"den + -pul, kom",,,
denseba,derived,m,FALSE,for that reason,,tial,por esa razón,,,,,,den + seba,,,
denseba hu,phrase,m,FALSE,"_subordinate clause:_ why, how come",,"(tial,) kial",porque,,,,,,"den + seba, hu",,,
densu,derived,su s,FALSE,that one's,,ties,de aquel (_ser viviente_),,,,,,den + -su,,,
denta,root,n,TRUE,tooth,,dento,diente,,,,,jismulogi,"Hindisa (दांत “daant”), Englisa, Fransesa, Doycisa (dental), Rusisa (дентальный “dentalny”), Espanisa",,,
dentabroxa,derived,n,FALSE,toothbrush,,dentbroso,cepillo de dientes,,,,,,denta + broxa,,,
dentakrema,derived,n,FALSE,toothpaste,,"dentopasto, dentoŝmiraĵo",pasta de dientes,,,,,,denta + krema,,,
dentali,derived,t,FALSE,dental,,denta; dente,dental,,,,,,denta + -li,,,
dentamedis,derived,n,FALSE,dentistry,,dentokuracado,odontología,,,,,,denta + -medis,,,
dentamedisyen,derived,n,FALSE,dentist,,"dentisto, dentokuracisto",dentista,,,,,,denta + -medis + -yen,,,
dente,derived,pn,FALSE,"that, that one, that being, that person",,tiu,"ése, ésa (_ser viviente_)",,,,,,den + te,,,
dento,derived,pn,FALSE,"that, that one, that thing",,tio,"ése, ésa, eso (_cosa_)",,,,,,den + to,,,
denwatu,derived,m,FALSE,then (_at that time_),,tiam,entonces,,,hinwatu ,,,den + watu,,,
denwatu hu,phrase,l,FALSE,"_subordinate clause:_ when, whenever",,"(tiam,) kiam",cuando,,,,,,"den- + watu, hu",,,
denya,derived,n/f.oj,FALSE,identity; identify,,identeco; identigi,identidad; identificar,,,,,,den + -ya,,,
deodoran,root,n,TRUE,deodorant,,senodorigilo,desodorante,,,,,,"Englisa (deodorant), Fransesa (déodorant), Doycisa (Deodorant), Espanisa (desodorante), Rusisa (дезодорант ""dezodorant""), Niponsa (デオドラント ""deodoranto""), Hangusa (데오도란트 ""de'odorantu""), Turkisa (deodorant), Parsisa (دئودورانت ""de'odorânt"")",,,
